Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 32,03/04/21,Kayserispor,Göztepe,1,1,7.0,6.63,4-4-2,4-1-4-1,D. Alemdar; Z. Kvržić; U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; J. Attamah; D. Avramovski; P. Henrique; M. Çelik; (c) İ. Parlak,İ. C. Eğribayat; L. Gassama; A. Öztürk; A. Nukan; B. Emir; A. Esiti; (c) H. Akbunar; F. Diabaté; S. Aydoğdu; C. Ndiaye; A. Jahović
20/21,Round 32,03/04/21,Rizespor,Karagümrük,0,0,6.84,6.86,4-2-3-1,4-2-3-1,(c) G. Akkan; M. Morozyuk; S. Ay; M. Talbi; İ. Köybaşı; E. Sabo; D. Djoković; F. Boldrin; F. Baiano; B. Samudio; M. Škoda,E. Viviano; K. Altınay; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; J. Durmaz; J. Lens; L. Castro; Y. Salibur; A. Sobiech
20/21,Round 32,03/04/21,Sivasspor,Trabzonspor,0,0,6.95,6.95,4-1-4-1,4-1-4-1,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré,(c) U. Çakır; H. Türkmen; E. Ié; V. Hugo; Marlon; A. Parmak; Y. Sarı; A. Bakasetas; Y. Malli; A. N. Nwakaeme; C. Ekuban
20/21,Round 32,03/04/21,Hatayspor,Galatasaray,3,0,7.12,6.56,4-2-3-1,4-1-4-1,M. Mohamedi; S. Popov; Y. Abdioğlu; P. Santos; (c) M. Çaytemel; R. Aabid; R. Ribeiro; D. Babajide; A. Traoré; M. Kamara; M. B. Diouf,(c) F. Muslera; Ş. Özbayraklı; R. Donk; G. Fernandes; M. Saracchi; O. Etebo; A. Turan; S. Feghouli; Ö. Bayram; H. Onyekuru; M. Mohamed
20/21,Round 32,04/04/21,Erzurumspor,Konyaspor,1,2,6.85,6.79,4-4-2,4-2-3-1,J. Szumski; M. M. Uçar; M. D. Costa; L. Schwechlen; Z. Bergdich; E. Başsan; G. Obertan; J. O. Omolo; E. Rashani; R. Gomes; (c) A. Chahechouhe,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; D. Milošević; M. Jevtović; J. Sekidika; O. K. Güçtekin; Z. Bytyqi; S. Cikalleshi
20/21,Round 32,04/04/21,Alanyaspor,Gençlerbirliği,1,2,6.73,,4-1-4-1,4-2-3-1,Marafona; Juanfran; F. Aksoy; F. Moubandje; T. Bingöl; M. Siopis; D. Kądzior; (c) S. Uçan; B. Kutlu; Davidson; M. Pektemek,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Akbaş; (c) H. I. Pehlivan; R. Piris; S. Dikmen; D. Candeias; M. Yildirim; S. Yılmaz; S. Lima
20/21,Round 32,04/04/21,Başakşehir,Yeni Malatyaspor,3,1,6.89,6.62,4-2-3-1,4-4-2,V. Babacan; Ö. A. Şahiner; C. Ponck; L. Duarte; C. Sertel; Y. Ndayishimiye; T. Ciğerci; (c) E. Višća; Giuliano; D. Türüç; D. Ba,A. Damlu; I. Chebake; Wallace; S. Kaya; K. Hafez; M. Eskihellaç; A. Ildız; A. Afriyie; M. Fofana; B. Tetteh; (c) A. Büyük
20/21,Round 32,04/04/21,Ankaragücü,Antalyaspor,1,0,7.11,6.75,4-2-3-1,4-2-3-1,(c) K. Çelikay; S. Kitsiou; A. Kulušić; M. Pazdan; T. Pinto; İ. Akdağ; E. Çekiçi; Geraldo; A. Potuk; S. Lobjanidze; T. Børven,R. Boffin; B. Balcı; V. Sarı; Naldo; E. Albayrak; N. Şahin; (c) H. Özmert; S. Sam; Fredy; A. d. Silva; L. Podolski
20/21,Round 32,04/04/21,Kasımpaşa,Beşiktaş,1,0,6.95,6.87,4-2-3-1,4-1-4-1,E. Taşkıran; F. Hadergjonaj; D. Luckassen; D. Tošić; O. Haddadi; (c) L. Sadiku; A. Kara; G. Koomson; H. Hajradinović; K. Varga; I. K. Thelin,E. Destanoğlu; N. Uysal; Welinton; D. Vida; F. N'Sakala; Souza; V. Rosier; (c) A. Hutchinson; A. Ljajić; G. N'Koudou; C. Larin
20/21,Round 32,05/04/21,Fenerbahçe,Denizlispor,1,0,7.01,6.71,4-1-4-1,4-1-4-1,A. Bayındır; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; L. Gustavo; S. Gümüş; O. Tufan; D. Pelkas; Enner Valencia; M. Samatta,C. Gönen; F. Leismann; O. Yılmaz; M. Yumlu; S. Aytaç; R. Murawski; H. Sacko; M. Bakalorz; M. Diskerud; Á. Sagal; (c) H. Rodallega
20/21,Round 31,19/03/21,Karagümrük,Kayserispor,3,0,7.14,6.61,4-1-4-1,4-2-3-1,E. Viviano; V. E. Hedenstad; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; Y. Salibur; L. Castro; A. Bertolacci; J. Durmaz; F. Borini,D. Alemdar; R. Civelek; D. Kolovetsios; (c) C. Săpunaru; A. Behich; J. Attamah; K. Muhar; A. Lennon; D. Avramovski; P. Henrique; İ. Parlak
20/21,Round 31,19/03/21,Galatasaray,Rizespor,3,4,6.46,6.66,4-1-3-2,4-1-4-1,(c) F. Muslera; D. Yedlin; C. Luyindama; Marcão; M. Saracchi; O. Etebo; G. Fernandes; E. Akbaba; E. Kılınç; R. Falcao; M. Mohamed,(c) G. Akkan; M. Morozyuk; S. Ay; M. Talbi; İ. Köybaşı; D. Djoković; F. Baiano; E. Sabo; F. Boldrin; B. Samudio; M. Škoda
20/21,Round 31,20/03/21,Gençlerbirliği,Kasımpaşa,2,1,6.92,6.85,4-2-3-1,4-2-3-1,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Akbaş; (c) H. I. Pehlivan; S. Dikmen; R. Piris; D. Candeias; M. Yildirim; F. Ayité; S. Lima,(c) R. Köse; F. Hadergjonaj; L. Sadiku; D. Tošić; O. Haddadi; A. Kara; D. Drinkwater; G. Koomson; H. Hajradinović; Y. Erdoğan; I. K. Thelin
20/21,Round 31,20/03/21,Göztepe,Sivasspor,3,5,6.59,6.87,4-2-3-1,4-1-4-1,İ. C. Eğribayat; M. Paluli; M. Mihojević; A. Nukan; D. Bureković; O. Nwobodo; P. Žulj; (c) H. Akbunar; S. Aydoğdu; A. Jahović; C. Ndiaye,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré
20/21,Round 31,20/03/21,Yeni Malatyaspor,Gaziantep,2,2,6.57,6.64,4-4-2,4-4-2,E. Özbir; I. Chebake; Wallace; T. L. Hadebe; K. Hafez; M. Eskihellaç; F. Zuqui; A. Afriyie; M. Fofana; B. Tetteh; (c) A. Büyük,(c) G. Güvenç; P. Olkowski; R. Miranda; A. Toșca; J. Morais; A. Sousa; O. Rashid; A. Vetrih; A. Maxim; K. Özer; M. Demir
20/21,Round 31,20/03/21,Trabzonspor,Ankaragücü,4,1,6.99,6.59,4-1-4-1,4-2-3-1,(c) U. Çakır; H. Türkmen; E. Ié; V. Hugo; Marlon; A. Parmak; T. Djaniny; A. Bakasetas; Y. Malli; A. N. Nwakaeme; C. Ekuban,R. Friedrich; T. Pinto; (c) A. Kulušić; Z. Šarlija; A. Turan; İ. Akdağ; E. Çekiçi; S. Lobjanidze; J. Paintsil; Geraldo; T. Børven
20/21,Round 31,21/03/21,Antalyaspor,Erzurumspor,3,1,7.01,6.5,4-1-4-1,4-2-3-1,F. Kaplan; B. Balcı; V. Sarı; F. Kudryashov; E. Albayrak; N. Şahin; G. Bayrakdar; Fredy; (c) H. Özmert; A. d. Silva; L. Podolski,J. Szumski; B. Butko; M. D. Costa; L. Schwechlen; Z. Bergdich; J. O. Omolo; P. Boumal; C. A. Alkılıç; (c) A. Chahechouhe; E. Başsan; M. E. Kabir
