Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
19/20,Round 33,19/07/20,Alanyaspor,Denizlispor,1,0,7.26,6.61,4-2-3-1,4-2-3-1,Marafona; Juanfran; S. Caulker; G. Tzavellas; F. N'Sakala; M. Çağıran; M. Siopis; E. Altıntaş; A. Bakasetas; (c) E. Karaca; P. D. Cissé,H. Altıntaş; Z. Yavru; O. Yılmaz; M. Yumlu; Z. Bergdich; R. Murawski; I. Sackey; H. Sacko; R. Niyaz; I. Aissati; (c) H. Rodallega
19/20,Round 33,19/07/20,Başakşehir,Kayserispor,1,0,7.09,6.78,4-4-2,4-5-1,M. Günok; J. Caiçara; M. Škrtel; A. Epureanu; G. Clichy; E. Višća; (c) M. Tekdemir; İ. C. Kahveci; E. Elia; E. Crivelli; D. Ba,(c) S. Lung Jr.; M. Lopes; B. Rienstra; C. Săpunaru; Y. Subaşı; H. H. Acar; A. Aktaş; Campanharo; B. D. Djédjé; P. Henrique; A. Kravets
19/20,Round 33,19/07/20,Beşiktaş,Fenerbahçe,2,0,7.3,6.48,4-2-3-1,4-2-3-1,E. Destanoğlu; G. Gönül; D. Vida; E. Roco; C. Erkin; A. Hutchinson; M. Elneny; J. Lens; K. Boateng; T. Boyd; (c) B. Yılmaz,A. Bayındır; N. Dirar; S. Aziz; S. Falette; H. A. Kaldırım; O. Tufan; T. Ciğerci; D. Türüç; (c) E. Belözoğlu; F. Kadıoğlu; V. Muriqi
19/20,Round 33,19/07/20,Rizespor,Yeni Malatyaspor,3,0,7.28,6.53,4-2-3-1,4-2-3-1,G. Akkan; M. Morozyuk; M. Talbi; I. Fernandes; D. Melnjak; (c) A. Durak; A. Vetrih; F. Boldrin; B. Samudio; D. Garmash; M. Škoda,F. Farnolle; I. Chebake; A. Mina; T. L. Hadebe; K. Hafez; R. Yalçın; (c) M. Yildirim; G. Töre; R. Walter; M. Fofana; U. Bulut
19/20,Round 33,19/07/20,Ankaragücü,Antalyaspor,0,1,6.82,7.15,4-2-3-1,4-1-4-1,R. Friedrich; S. Kitsiou; (c) A. Kulušić; M. Pazdan; T. Pinto; R. Faty; D. Łukasik; S. Lobjanidze; E. Scarione; K. Michalak; G. Rivas,F. Kaplan; N. Sangaré; V. Sarı; F. Kudryashov; E. Albayrak; U. Akyol; B. Balcı; (c) Y. Kurtuluş; D. Sinik; A. d. Silva; A. Jahović
19/20,Round 33,19/07/20,Sivasspor,Gençlerbirliği,2,0,7.12,6.6,4-3-3,4-2-3-1,A. Ş. Vural; M. Goiano; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; F. Aksoy; I. Cofie; M. H. Yandaş; M. Yatabaré; (c) A. Koné; E. Kılınç,K. Nordfeldt; A. Oğuz; F. Ramos; Z. Touré; H. I. Pehlivan; B. A. Özdemir; (c) S. Sessègnon; D. Candeias; S. Dikmen; P. Polomat; B. Stancu
19/20,Round 33,19/07/20,Trabzonspor,Konyaspor,3,4,6.7,6.78,4-2-3-1,4-2-3-1,(c) U. Çakır; K. A. Çörekçi; M. D. Costa; G. Campi; F. Novák; A. Parmak; B. Ndiaye; A. Ömür; C. Ekuban; A. N. Nwakaeme; A. Sørloth,E. Taşkıran; N. Skubic; U. Demirok; M. Aničić; A. Uludağ; M. Jevtović; J. Jønsson; A. Hadžiahmetović; (c) Ö. A. Şahiner; D. Milošević; R. Bajić
19/20,Round 32,11/07/20,Göztepe,Gençlerbirliği,1,3,6.67,6.81,4-2-3-1,4-2-3-1,M. G. Bakırbaş; M. Paluli; A. Öztürk; A. Nukan; B. Emir; A. B. Poko; S. Aydoğdu; Y. Kayan; (c) A. Castro; Z. Tripić; K. Wilczek,E. Özbir; (c) E. Özgenç; F. Ramos; Z. Touré; P. Polomat; B. A. Özdemir; S. Dikmen; D. Candeias; S. Yılmaz; G. Sio; B. Stancu
19/20,Round 32,12/07/20,Ankaragücü,Galatasaray,1,0,7.05,6.86,4-2-3-1,4-1-4-1,R. Friedrich; S. Kitsiou; (c) A. Kulušić; M. Pazdan; T. Pinto; R. Faty; D. Łukasik; K. Michalak; E. Scarione; S. Lobjanidze; D. Orgill,O. Kocuk; M. Linnes; (c) E. Bayram; Marcão; M. Saracchi; J. M. Seri; Ö. Bayram; T. Antalyalı; E. Akbaba; Y. Belhanda; A. Büyük
19/20,Round 32,12/07/20,Antalyaspor,Alanyaspor,1,0,7.02,6.78,4-1-4-1,4-2-3-1,F. Kaplan; N. Sangaré; V. Sarı; F. Kudryashov; E. Albayrak; U. Akyol; B. Balcı; (c) Y. Kurtuluş; D. Sinik; A. d. Silva; A. Jahović,Marafona; Juanfran; S. Caulker; G. Tzavellas; F. N'Sakala; S. Uçan; C. Gülselam; (c) E. Karaca; A. Bakasetas; J. Fernandes; P. D. Cissé
19/20,Round 32,12/07/20,Fenerbahçe,Sivasspor,1,2,6.79,6.69,4-2-3-1,4-4-1-1,A. Bayındır; N. Dirar; O. Tufan; S. Falette; (c) H. A. Kaldırım; T. Arslan; L. Gustavo; D. Türüç; Ö. F. Beyaz; F. Kadıoğlu; V. Muriqi,M. Samassa; M. Goiano; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; M. Yatabaré; Claudemir; I. Cofie; E. Kılınç; M. H. Yandaş; (c) A. Koné
19/20,Round 32,13/07/20,Kasımpaşa,Rizespor,2,0,6.97,6.59,4-2-3-1,3-4-2-1,(c) R. Köse; F. Hadergjonaj; Y. Meriah; T. Břečka; O. Haddadi; M. Tirpan; A. Kara; Y. Erdoğan; H. Hajradinović; M. Thiam; G. Gohou,T. Çetin; M. Talbi; I. Fernandes; B. Albayrak; (c) O. Ovacıklı; I. Diomandé; O. K. Güçtekin; A. Koc; F. Boldrin; D. Garmash; M. Škoda
19/20,Round 32,13/07/20,Kayserisporx2,Gaziantep,1,1,6.91,6.83,4-1-4-1,5-3-2,(c) S. Lung Jr.; Z. Kvržić; C. Săpunaru; D. Angelo; E. Taşdemir; B. D. Djédjé; C. Şahin; H. H. Acar; B. Mensah; P. Henrique; A. Kravets,(c) G. Güvenç; O. Ceylan; P. Djilobodji; J. A. Kana-Biyik; A. Toșca; J. Morais; F. Soyalp; J. Junior; A. Maxim; K. Özer; M. Demir
19/20,Round 32,13/07/20,Denizlispor,Trabzonspor,2,1,7.06,6.78,4-2-3-1,4-2-3-1,H. Altıntaş; Z. Yavru; O. Yılmaz; M. Yumlu; Z. Bergdich; I. Sackey; R. Murawski; H. Sacko; R. Niyaz; I. Aissati; (c) H. Rodallega,U. Çakır; J. Pereira; M. Hosseini; M. D. Costa; F. Novák; A. Parmak; (c) J. Sosa; A. Ömür; C. Ekuban; A. N. Nwakaeme; A. Sørloth
19/20,Round 32,13/07/20,Konyaspor,Başakşehir,4,3,6.8,6.67,4-2-3-1,4-2-3-1,E. Taşkıran; N. Skubic; U. Demirok; M. Aničić; A. Uludağ; V. Fındıklı; J. Jønsson; A. Hadžiahmetović; F. Miya; D. Milošević; (c) Ö. A. Şahiner,M. Günok; J. Caiçara; M. Škrtel; A. Epureanu; G. Clichy; İ. C. Kahveci; M. Topal; (c) E. Višća; D. Aleksić; E. Crivelli; D. Ba
19/20,Round 32,13/07/20,Yeni Malatyaspor,Beşiktaş,0,1,6.74,6.8,4-2-3-1,4-4-2,F. Farnolle; I. Chebake; A. Mina; T. L. Hadebe; K. Hafez; M. Donald; A. Afriyie; G. Töre; R. Yalçın; (c) M. Yildirim; U. Bulut,E. Destanoğlu; (c) G. Gönül; D. Vida; V. Ruiz; C. Erkin; J. Lens; M. Elneny; N. Uysal; G. N'Koudou; A. Diaby; T. Boyd
19/20,Round 31,07/07/20,Gençlerbirliği,Fenerbahçe,1,1,6.77,6.99,4-2-3-1,4-2-3-1,E. Özbir; E. Özgenç; F. Ramos; Z. Touré; (c) H. I. Pehlivan; B. A. Özdemir; F. Baiano; S. Yılmaz; S. Dikmen; D. Candeias; B. Stancu,A. Bayındır; N. Dirar; Jailson; S. Falette; (c) H. A. Kaldırım; T. Arslan; L. Gustavo; D. Türüç; O. Tufan; F. Kadıoğlu; V. Muriqi
19/20,Round 31,07/07/20,Başakşehir,Denizlispor,2,0,7.01,6.58,4-2-3-1,4-2-3-1,M. Günok; J. Caiçara; C. Ponck; M. Škrtel; G. Clichy; M. Topal; İ. C. Kahveci; (c) E. Višća; D. Aleksić; E. Crivelli; D. Ba,T. Acar; Z. Yavru; O. Yılmaz; M. Yumlu; Z. Bergdich; I. Sackey; R. Murawski; H. Sacko; R. Niyaz; I. Aissati; (c) H. Rodallega
19/20,Round 31,08/07/20,Sivasspor,Yeni Malatyaspor,0,1,6.76,6.9,4-3-3,4-2-3-1,M. Samassa; M. Goiano; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; F. Aksoy; I. Cofie; M. H. Yandaş; E. Yeşilyurt; M. Yatabaré; (c) E. Kılınç,F. Farnolle; I. Chebake; A. Mina; T. L. Hadebe; K. Hafez; M. Donald; A. Afriyie; G. Töre; R. Yalçın; (c) M. Yildirim; U. Bulut
19/20,Round 31,08/07/20,Trabzonspor,Antalyaspor,2,2,6.76,6.81,4-1-4-1,4-1-4-1,U. Çakır; J. Pereira; H. Türkmen; G. Campi; F. Novák; (c) J. Sosa; A. Ömür; A. Parmak; B. Ndiaye; C. Ekuban; A. Sørloth,(c) R. Boffin; N. Sangaré; V. Sarı; F. Kudryashov; E. Albayrak; U. Akyol; P. Mukairu; B. Balcı; D. Sinik; A. d. Silva; G. Blanco
19/20,Round 31,08/07/20,Alanyaspor,Galatasaray,4,1,7.12,6.61,4-2-3-1,4-1-4-1,Marafona; Juanfran; S. Caulker; G. Tzavellas; F. N'Sakala; C. Gülselam; S. Uçan; O. Bulut; A. Bakasetas; (c) E. Karaca; P. D. Cissé,O. Kocuk; Mariano; (c) R. Donk; Marcão; M. Linnes; J. M. Seri; Y. Belhanda; T. Antalyalı; E. Akbaba; Ö. Bayram; A. Büyük
19/20,Round 31,08/07/20,Göztepe,Ankaragücü,2,2,6.76,6.67,4-2-3-1,4-2-3-1,(c) Beto; M. Paluli; A. Nukan; Titi; B. Emir; A. B. Poko; S. Aydoğdu; Z. Tripić; M. Mossoró; S. Napoleoni; K. Wilczek,R. Friedrich; S. Kitsiou; A. Kulušić; M. Pazdan; T. Pinto; R. Faty; D. Łukasik; İ. Parlak; (c) S. Ağçay; G. Rodrigues; D. Orgill
19/20,Round 31,09/07/20,Rizespor,Kayserispor,3,2,6.83,6.66,4-4-1-1,4-1-4-1,T. Çetin; O. Ovacıklı; M. Talbi; I. Fernandes; D. Melnjak; F. Boldrin; (c) A. Durak; A. Vetrih; Y. Sasse; B. Samudio; M. Škoda,(c) S. Lung Jr.; Z. Kvržić; C. Săpunaru; D. Angelo; Y. Subaşı; Campanharo; H. H. Acar; B. D. Djédjé; B. Mensah; A. Kravets; M. Mešanovič
19/20,Round 31,09/07/20,Beşiktaş,Kasımpaşa,3,2,6.97,6.71,4-1-4-1,4-2-3-1,E. Destanoğlu; G. Gönül; E. Roco; V. Ruiz; C. Erkin; M. Elneny; J. Lens; A. Hutchinson; A. Diaby; T. Boyd; (c) B. Yılmaz,R. Köse; M. Tirpan; J. Fernandes; Y. Meriah; O. Haddadi; D. Pavelka; A. Kara; (c) R. Quaresma; H. Hajradinović; M. Thiam; B. Koita
19/20,Round 31,09/07/20,Gaziantep,Konyaspor,3,1,7.0,6.76,5-3-2,4-2-3-1,(c) G. Güvenç; O. Ceylan; P. Djilobodji; J. A. Kana-Biyik; A. Toșca; J. Morais; G. Vural; A. Sousa; A. Maxim; K. Özer; O. Kayode,E. Taşkıran; N. Skubic; U. Demirok; M. Aničić; A. Uludağ; V. Fındıklı; M. Jevtović; (c) Ö. A. Şahiner; D. Milošević; F. Miya; R. Bajić
19/20,Round 30,03/07/20,Denizlispor,Gaziantep,0,1,6.74,6.96,4-1-4-1,5-3-2,T. Acar; T. Lopes; O. Yılmaz; M. Yumlu; Z. Bergdich; R. Murawski; Z. Yavru; R. Niyaz; I. Aissati; (c) H. Rodallega; Ó. Estupiñán,(c) G. Güvenç; O. Ceylan; P. Djilobodji; J. A. Kana-Biyik; A. Toșca; J. Morais; G. Vural; A. Sousa; A. Maxim; O. Kayode; K. Özer
19/20,Round 30,04/07/20,Ankaragücü,Alanyaspor,1,4,6.57,7.09,4-3-3,4-2-3-1,R. Friedrich; T. Pinto; M. Pazdan; (c) A. Kulušić; A. Turan; S. Kitsiou; D. Łukasik; R. Faty; S. Lobjanidze; D. Orgill; K. Michalak,Marafona; Juanfran; Welinton; S. Caulker; F. N'Sakala; S. Uçan; C. Gülselam; O. Bulut; A. Bakasetas; (c) E. Karaca; P. D. Cissé
19/20,Round 30,04/07/20,Yeni Malatyaspor,Gençlerbirliği,0,0,6.67,7.03,4-2-3-1,4-2-3-1,F. Farnolle; I. Chebake; A. Mina; T. L. Hadebe; K. Hafez; (c) M. Yildirim; A. Afriyie; Y. Ndayishimiye; M. Donald; M. Fofana; U. Bulut,K. Nordfeldt; E. Özgenç; F. Ramos; Z. Touré; (c) H. I. Pehlivan; B. A. Özdemir; F. Baiano; S. Yılmaz; F. Ayité; D. Candeias; B. Stancu
19/20,Round 30,04/07/20,Antalyaspor,Başakşehir,0,2,6.59,7.24,4-2-3-1,4-2-3-1,R. Boffin; B. Balcı; V. Sarı; E. Gülüm; F. Kudryashov; U. Akyol; Fredy; S. Gümüş; (c) L. Podolski; A. d. Silva; A. Jahović,M. Günok; J. Caiçara; M. Škrtel; (c) A. Epureanu; G. Clichy; M. Topal; İ. C. Kahveci; F. Gulbrandsen; B. Özcan; E. Crivelli; D. Ba
19/20,Round 30,04/07/20,Fenerbahçe,Göztepe,2,1,6.92,6.63,4-2-3-1,4-2-3-1,A. Bayındır; N. Dirar; S. Aziz; S. Falette; (c) H. A. Kaldırım; L. Gustavo; T. Arslan; D. Türüç; O. Tufan; F. Kadıoğlu; V. Muriqi,(c) Beto; L. Gassama; A. Öztürk; Titi; B. Emir; C. Borges; S. Aydoğdu; S. Gürler; M. Mossoró; Z. Tripić; K. Wilczek
19/20,Round 30,05/07/20,Kasımpaşa,Sivasspor,0,0,6.82,7.0,4-2-3-1,4-3-3,(c) R. Köse; F. Hadergjonaj; J. Fernandes; Y. Meriah; O. Haddadi; M. Tirpan; A. Kara; D. Ndongala; H. Hajradinović; M. Thiam; B. Koita,M. Samassa; M. Goiano; A. Appindangoyé; S. Camara; U. Çiftçi; (c) Z. Erdal; I. Cofie; M. H. Yandaş; F. Andrade; M. Yatabaré; E. Kılınç
19/20,Round 30,05/07/20,Galatasaray,Trabzonspor,1,3,6.34,6.93,4-1-4-1,4-2-3-1,O. Kocuk; Mariano; (c) R. Donk; Marcão; M. Saracchi; J. M. Seri; S. Feghouli; Y. Belhanda; T. Antalyalı; Ö. Bayram; E. Akbaba,U. Çakır; K. A. Çörekçi; H. Türkmen; M. D. Costa; F. Novák; (c) J. Sosa; A. Parmak; A. Ömür; B. Ndiaye; C. Ekuban; A. Sørloth
19/20,Round 30,05/07/20,Konyaspor,Rizespor,1,0,7.01,6.71,4-2-3-1,4-4-2,E. Taşkıran; N. Skubic; U. Demirok; M. Aničić; A. Uludağ; M. Jevtović; J. Jønsson; L. Shengelia; D. Milošević; (c) Ö. A. Şahiner; R. Bajić,T. Çetin; O. Ovacıklı; M. Talbi; I. Fernandes; D. Melnjak; T. Torun; (c) A. Durak; A. Vetrih; B. Samudio; F. Boldrin; M. Škoda
19/20,Round 30,06/07/20,Kayserispor,Beşiktaş,3,1,6.99,6.61,4-2-3-1,4-1-4-1,(c) S. Lung Jr.; Z. Kvržić; C. Săpunaru; D. Angelo; M. Lopes; Campanharo; B. D. Djédjé; C. Şahin; H. H. Acar; P. Henrique; A. Kravets,E. Destanoğlu; G. Gönül; D. Vida; V. Ruiz; R. Yılmaz; N. Uysal; J. Lens; M. Elneny; A. Hutchinson; A. Diaby; (c) B. Yılmaz
19/20,Round 29,26/06/20,Beşiktaş,Konyaspor,3,0,7.24,6.22,4-2-3-1,4-2-3-1,E. Destanoğlu; G. Gönül; D. Vida; V. Ruiz; R. Yılmaz; M. Elneny; A. Hutchinson; J. Lens; A. Diaby; G. N'Koudou; (c) B. Yılmaz,E. Taşkıran; N. Skubic; U. Demirok; (c) S. Ay; A. Uludağ; M. Jevtović; J. Jønsson; Ö. A. Şahiner; D. Milošević; A. Hadžiahmetović; R. Bajić
19/20,Round 29,27/06/20,Fenerbahçe,Yeni Malatyaspor,3,2,7.01,6.58,4-2-3-1,4-2-3-1,A. Bayındır; N. Dirar; S. Aziz; L. Gustavo; (c) H. A. Kaldırım; O. Tufan; Jailson; D. Türüç; M. Ekici; G. Rodrigues; V. Muriqi,F. Farnolle; I. Chebake; A. Mina; T. L. Hadebe; S. Aytaç; R. Yalçın; (c) M. Yildirim; G. Töre; A. Afriyie; K. Hafez; U. Bulut
19/20,Round 29,27/06/20,Göztepe,Alanyaspor,3,3,6.68,6.73,4-2-3-1,4-2-3-1,(c) Beto; L. Gassama; A. Öztürk; Titi; B. Emir; C. Borges; S. Aydoğdu; S. Gürler; M. Mossoró; Z. Tripić; K. Wilczek,Marafona; Juanfran; S. Caulker; G. Tzavellas; K. Kanak; C. Gülselam; S. Uçan; (c) E. Karaca; A. Bakasetas; J. Fernandes; P. D. Cissé
19/20,Round 29,27/06/20,Trabzonspor,Ankaragücü,1,1,6.81,6.5,4-1-4-1,4-1-4-1,U. Çakır; J. Pereira; H. Türkmen; G. Campi; F. Novák; (c) J. Sosa; A. Ömür; A. Parmak; B. Ndiaye; Guilherme Marques; A. Sørloth,R. Friedrich; T. Pinto; M. Pazdan; A. Kulušić; A. Turan; R. Faty; S. Lobjanidze; (c) S. Ağçay; E. Scarione; G. Rodrigues; D. Orgill
19/20,Round 29,28/06/20,Rizespor,Denizlispor,2,2,6.88,6.66,4-4-2,4-4-1-1,T. Çetin; M. Morozyuk; M. Talbi; I. Fernandes; D. Melnjak; T. Torun; A. Vetrih; I. Diomandé; B. Samudio; M. Škoda; (c) F. Boldrin,T. Acar; T. Lopes; S. B. Youssef; M. Yumlu; Z. Bergdich; Ö. Çek; M. K. Mbamba; R. Murawski; I. Aissati; (c) H. Rodallega; Ó. Estupiñán
19/20,Round 29,28/06/20,Sivasspor,Kayserispor,0,2,6.71,6.99,4-3-3,3-4-1-2,M. Samassa; M. Goiano; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; (c) E. Kılınç; F. Aksoy; Claudemir; M. H. Yandaş; M. Yatabaré; F. Andrade,(c) S. Lung Jr.; B. Rienstra; C. Săpunaru; D. Angelo; B. D. Djédjé; H. H. Acar; Campanharo; P. Henrique; B. Mensah; M. Mešanovič; A. Kravets
19/20,Round 29,28/06/20,Başakşehir,Galatasaray,1,1,6.88,6.97,4-2-3-1,4-1-4-1,M. Günok; J. Caiçara; C. Ponck; A. Epureanu; G. Clichy; (c) M. Tekdemir; İ. C. Kahveci; E. Višća; D. Aleksić; Robinho; E. Crivelli,O. Kocuk; M. Linnes; (c) R. Donk; M. Lemina; M. Saracchi; J. M. Seri; S. Feghouli; Y. Belhanda; Ö. Bayram; H. Onyekuru; E. Akbaba
19/20,Round 29,28/06/20,Gaziantep,Antalyaspor,1,1,6.83,6.66,5-3-2,4-2-3-1,(c) G. Güvenç; O. Ceylan; P. Djilobodji; J. A. Kana-Biyik; A. Toșca; J. Morais; A. Maxim; A. Sousa; P. Twumasi; O. Kayode; K. Özer,R. Boffin; B. Balcı; V. Sarı; E. Gülüm; F. Kudryashov; (c) H. Özmert; Fredy; D. Sinik; P. Mukairu; A. d. Silva; A. Jahović
19/20,Round 29,29/06/20,Gençlerbirliği,Kasımpaşa,0,2,6.59,7.26,4-2-3-1,4-2-3-1,K. Nordfeldt; E. Özgenç; F. Ramos; Z. Touré; H. I. Pehlivan; F. Baiano; (c) S. Sessègnon; G. Sio; F. Ayité; D. Candeias; B. Stancu,R. Köse; F. Hadergjonaj; J. Fernandes; Y. Meriah; O. Haddadi; D. Pavelka; A. Kara; (c) R. Quaresma; H. Hajradinović; M. Thiam; B. Koita
19/20,Round 28,19/06/20,Ankaragücü,Başakşehir,1,2,6.69,7.01,4-3-3,4-2-3-1,R. Friedrich; S. Kitsiou; R. Faty; M. Pazdan; A. Turan; E. Scarione; D. Łukasik; (c) T. Pinto; S. Lobjanidze; G. Rodrigues; K. Michalak,M. Günok; J. Caiçara; M. Škrtel; A. Epureanu; G. Clichy; (c) M. Tekdemir; İ. C. Kahveci; E. Višća; D. Aleksić; E. Crivelli; D. Ba
19/20,Round 28,20/06/20,Kayserispor,Gençlerbirliği,2,0,7.16,6.66,4-1-4-1,4-3-3,(c) S. Lung Jr.; Z. Kvržić; B. Rienstra; D. Angelo; Y. Subaşı; Campanharo; H. H. Acar; B. D. Djédjé; B. Mensah; P. Henrique; M. Mešanovič,K. Nordfeldt; (c) A. Oğuz; A. Kızıldağ; Z. Touré; H. I. Pehlivan; B. A. Özdemir; F. Baiano; Y. Pehlivan; D. Candeias; B. Stancu; G. Sio
19/20,Round 28,20/06/20,Denizlispor,Beşiktaş,1,5,6.6,,4-1-4-1,4-2-3-1,T. Acar; T. Lopes; M. Yumlu; O. Yılmaz; Z. Bergdich; M. K. Mbamba; H. Sacko; R. Murawski; I. Aissati; O. Şahan; (c) H. Rodallega,E. Destanoğlu; G. Gönül; E. Roco; V. Ruiz; R. Yılmaz; M. Elneny; A. Hutchinson; J. Lens; A. Ljajić; G. N'Koudou; (c) B. Yılmaz
19/20,Round 28,20/06/20,Yeni Malatyaspor,Göztepe,2,1,6.83,6.61,4-2-3-1,4-2-3-1,F. Farnolle; I. Chebake; A. Mina; T. L. Hadebe; S. Aytaç; A. Afriyie; R. Yalçın; G. Töre; (c) M. Yildirim; M. Fofana; U. Bulut,(c) Beto; L. Gassama; A. Öztürk; Titi; B. Emir; A. Castro; S. Aydoğdu; H. Akbunar; M. Mossoró; S. Gürler; K. Wilczek
19/20,Round 28,21/06/20,Kasımpaşa,Fenerbahçe,2,0,7.09,6.71,4-2-3-1,4-2-3-1,R. Köse; F. Hadergjonaj; Z. Šarlija; Y. Meriah; O. Haddadi; M. Tirpan; A. Kara; (c) R. Quaresma; H. Hajradinović; M. Thiam; B. Koita,A. Bayındır; N. Dirar; L. Gustavo; S. Falette; (c) H. A. Kaldırım; T. Ciğerci; O. Tufan; D. Türüç; F. Kadıoğlu; G. Rodrigues; V. Muriqi
