Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 40,08/05/21,Galatasaray,Beşiktaş,3,1,6.77,6.46,4-1-4-1,4-1-4-1,(c) F. Muslera; D. Yedlin; R. Donk; Marcão; M. Saracchi; T. Antalyalı; R. Babel; G. Fernandes; E. Akbaba; H. Onyekuru; R. Falcao,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; Souza; R. Ghezzal; (c) A. Hutchinson; A. Ljajić; C. Larin; G. Töre
20/21,Round 40,08/05/21,Göztepe,Konyaspor,0,1,6.82,7.06,4-5-1,4-3-3,A. Özçimen; K. Alıcı; A. Öztürk; A. Nukan; B. Emir; (c) H. Akbunar; Y. Kayan; O. Nwobodo; S. Aydoğdu; C. Ndiaye; A. Jahović,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; M. Jevtović; I. Diomandé; A. Rahmanović; L. Shengelia; S. Cikalleshi; J. Sekidika
20/21,Round 40,08/05/21,Hatayspor,Denizlispor,1,0,7.02,6.72,4-2-3-1,3-4-3,M. Mohamedi; S. Popov; Y. Abdioğlu; P. Santos; (c) M. Çaytemel; I. Sackey; R. Ribeiro; D. Babajide; R. Aabid; A. Boupendza; M. B. Diouf,A. Sunger; E. Kascioglu; M. Özkal; S. Aytaç; A. Y. Kol; M. Diskerud; R. Murawski; H. Ayaroğlu; H. Sacko; (c) H. Rodallega; R. Niyaz
20/21,Round 40,08/05/21,Kayserispor,Gaziantep,0,0,6.99,6.83,4-4-2,5-4-1,D. Alemdar; J. Attamah; D. Kolovetsios; N. Paz; A. Behich; Z. Kvržić; K. Muhar; D. Avramovski; A. Lennon; (c) İ. Parlak; P. Henrique,(c) G. Güvenç; O. Ceylan; P. Olkowski; R. Miranda; P. Djilobodji; J. Morais; J. Junior; O. Rashid; A. Sousa; A. Maxim; N. Dicko
20/21,Round 40,08/05/21,Ankaragücü,Fenerbahçe,1,2,6.64,7.02,4-2-3-1,4-1-4-1,R. Friedrich; S. Kitsiou; (c) A. Kulušić; Z. Šarlija; A. Turan; E. Çekiçi; İ. Akdağ; S. Lobjanidze; A. Potuk; J. Paintsil; A. Badji,H. Tekin; (c) O. Tufan; M. Tisserand; A. Szalai; C. Erkin; J. Sosa; M. Özil; İ. C. Kahveci; M. H. Yandaş; D. Pelkas; Enner Valencia
20/21,Round 40,08/05/21,Sivasspor,Başakşehir,0,0,7.06,6.82,4-3-3,4-1-4-1,A. Ş. Vural; A. Oğuz; R. Yalçın; C. Osmanpaşa; U. Çiftçi; (c) H. Arslan; Claudemir; F. Fajr; E. Yeşilyurt; O. Kayode; M. Gradel,M. Günok; Rafael; Y. Ndayishimiye; R. Tagir; B. Bolingoli; T. Ciğerci; (c) E. Višća; B. Özcan; D. Aleksić; D. Türüç; E. Crivelli
20/21,Round 40,08/05/21,Trabzonspor,Antalyaspor,2,1,6.98,6.7,4-1-4-1,4-2-3-1,(c) U. Çakır; S. Asan; E. Ié; H. Türkmen; Marlon; L. Baker; C. Ekuban; A. Ömür; A. Bakasetas; A. N. Nwakaeme; T. Djaniny,R. Boffin; B. Balcı; V. Sarı; Naldo; F. Kudryashov; (c) H. Özmert; N. Şahin; G. Bayrakdar; Fredy; A. d. Silva; L. Podolski
20/21,Round 39,01/05/21,Beşiktaş,Hatayspor,7,0,7.45,6.12,4-2-3-1,4-2-3-1,E. Destanoğlu; V. Rosier; Welinton; (c) D. Vida; F. N'Sakala; A. Hutchinson; Souza; R. Ghezzal; A. Ljajić; G. N'Koudou; C. Larin,M. Mohamedi; S. Popov; J. C. Billong; P. Santos; A. Katranis; (c) R. Aabid; R. Ribeiro; D. Babajide; A. Traoré; A. Boupendza; M. B. Diouf
20/21,Round 39,02/05/21,Antalyaspor,Göztepe,2,3,6.64,6.85,4-2-3-1,4-2-3-1,R. Boffin; B. Balcı; V. Sarı; Naldo; F. Kudryashov; U. Akyol; N. Şahin; A. d. Silva; Fredy; E. Albayrak; (c) L. Podolski,İ. C. Eğribayat; M. Paluli; K. Alıcı; A. Nukan; B. Emir; A. Esiti; K. Sönmez; F. Diabaté; S. Aydoğdu; (c) H. Akbunar; A. Jahović
20/21,Round 39,02/05/21,Denizlispor,Rizespor,0,1,6.81,6.86,4-1-4-1,4-2-3-1,A. Sunger; Ö. Özdemir; F. Leismann; M. Yumlu; S. Aytaç; M. Bakalorz; Á. Sagal; M. Diskerud; H. Ayaroğlu; A. Y. Kol; (c) H. Rodallega,G. Akkan; M. Morozyuk; E. Dilaver; M. Talbi; İ. Köybaşı; G. Donsah; (c) A. Durak; B. Samudio; E. Sabo; F. Andrade; L. Rémy
