Season,Season,Week,Match Date,Match Date,Home Team,Away Team,Home Goals,Away Goals,MatchOutcome,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
20/21,20/21,Round 41,11/05/21,2021-05-11,kony,trab,1,1,D,7.09,6.63,4-2-3-1,4-2-3-1,30.407114624505933,2451973913.043478,222906719.3675889,6.886363636363637,28.454545454545453,4731200000.0,430109090.9090909,7.0,1.95256916996048,-2279226086.956522,-0.1136363636363633,1,7.0,12.0,7.0,10.0,30.54308300395257,30.51857707509882,199077154.15019763,205192747.0355731,6.876545454545455,6.901999999999999,6.0,11.0,7.0,14.0,28.83636363636364,28.97037037037037,364087272.7272727,361586338.3838384,7.016363636363636,7.007636363636363
20/21,20/21,Round 41,11/05/21,2021-05-11,alan,erzu,2,3,A,6.74,6.85,4-1-4-1,4-2-3-1,31.114832535885167,1329776315.7894738,120888755.98086125,6.9409090909090905,32.276363636363634,454401000.0,41309181.81818182,6.749090909090909,-1.1615311004784663,875375315.7894738,0.1918181818181814,1,5.0,9.0,5.0,8.0,31.238277511961723,30.941148325358853,129083373.2057416,137314114.8325359,6.939636363636363,6.928454545454545,8.0,16.0,6.0,13.0,32.714181818181814,32.63309090909091,28631036.363636363,29586281.81818182,6.758181818181818,6.761818181818183
20/21,20/21,Round 41,11/05/21,2021-05-11,başa,kays,0,0,D,6.92,6.75,4-2-3-1,5-4-1,29.884615384615383,2653349038.4615383,241213548.9510489,6.753636363636363,28.67398119122257,1460487068.965517,132771551.72413792,6.831818181818181,1.2106341933928135,1192861969.4960213,-0.0781818181818181,1,4.0,11.0,9.0,15.0,30.97062937062937,30.805594405594405,298058076.9230769,323920961.5384615,6.812545454545453,6.813090909090908,8.0,12.0,6.0,10.0,28.63761755485893,28.985579937304077,135132006.26959246,128916927.8996865,6.8223636363636375,6.813909090909091
20/21,20/21,Round 41,11/05/21,2021-05-11,beşi,fati,1,2,A,6.89,6.71,4-2-3-1,4-2-3-1,30.89393939393939,1561038541.6666665,141912594.6969697,6.997272727272727,31.76555023923445,281102631.57894737,25554784.688995216,6.906363636363636,-0.8716108452950593,1279935910.0877192,0.0909090909090908,1,15.0,26.0,9.0,18.0,30.648484848484845,30.28636363636363,129278787.87878788,145374403.4090909,6.982727272727272,7.004,11.0,17.0,8.0,17.0,30.30717703349282,30.802870813397128,23354760.76555024,22871267.94258373,6.848181818181819,6.856545454545454
20/21,20/21,Round 41,11/05/21,2021-05-11,deni,gala,1,4,A,6.43,6.99,5-4-1,4-1-4-1,28.7,2300000.0,230000.0,6.731,29.303030303030308,3641316666.6666665,331028787.8787879,6.970909090909092,-0.6030303030303088,-3639016666.6666665,-0.2399090909090917,1,5.0,11.0,1.0,3.0,30.344747474747475,31.20737373737374,224227.2727272727,221363.6363636364,6.715363636363636,6.731281818181818,12.0,19.0,15.0,28.0,29.08686868686869,29.134343434343435,471933737.3737375,497581868.6868688,6.951818181818181,6.947636363636365
20/21,20/21,Round 41,11/05/21,2021-05-11,fene,siva,1,2,A,6.83,7.02,4-1-4-1,4-1-4-1,31.996632996632997,2624281481.4814816,238571043.77104375,7.01090909090909,33.36363636363637,104150000.0,9468181.818181818,6.876363636363638,-1.367003367003374,2520131481.4814816,0.134545454545452,1,9.0,17.0,10.0,21.0,32.08888888888889,31.75757575757576,198624444.44444448,232401969.6969697,7.003454545454545,7.016454545454545,5.0,15.0,11.0,22.0,33.426877470355734,33.475889328063246,19174505.92885376,19322588.93280632,6.903636363636364,6.911272727272729
20/21,20/21,Round 41,11/05/21,2021-05-11,gazi,rize,4,5,A,6.57,6.8,4-4-2,4-1-4-1,33.64822134387352,3729347.826086957,339031.62055335974,6.806363636363636,31.43478260869565,337931521.7391305,33793152.17391305,6.778999999999999,2.213438735177874,-334202173.9130436,0.0273636363636367,1,7.0,16.0,4.0,9.0,33.22213438735178,33.31304347826087,368616.60079051385,373616.60079051385,6.806,6.814181818181818,9.0,17.0,6.0,14.0,30.59833992094861,30.61960474308301,83018389.32806325,85453140.31620553,6.81310909090909,6.839254545454546
20/21,20/21,Round 41,11/05/21,2021-05-11,genç,gözt,5,3,H,6.86,6.52,4-2-3-1,4-2-3-1,30.28181818181818,14152272.727272728,1415227.2727272727,6.75,29.60727272727273,262989000.0,23908090.90909091,6.783636363636364,0.6745454545454521,-248836727.27272728,-0.0336363636363641,1,7.0,15.0,3.0,8.0,31.39818181818182,31.47090909090909,12042272.72727273,13146113.636363637,6.777200000000001,6.7604,8.0,18.0,5.0,12.0,29.34836363636364,29.70690909090909,68707600.0,81112709.0909091,6.835636363636364,6.837272727272728
20/21,20/21,Round 41,11/05/21,2021-05-11,kası,anka,3,1,H,6.84,6.73,4-2-3-1,4-2-3-1,30.63636363636364,691625000.0,62875000.0,6.829090909090909,28.853754940711465,1916726086.9565215,174247826.08695653,6.768181818181819,1.782608695652172,-1225101086.9565215,0.0609090909090896,1,9.0,14.0,9.0,15.0,30.51111111111111,30.570033670033677,67080757.57575758,69930353.53535354,6.83,6.838545454545455,4.0,12.0,0.0,7.0,29.660869565217396,29.849802371541507,143559209.486166,142445365.61264822,6.77109090909091,6.781090909090909
20/21,20/21,Round 41,11/05/21,2021-05-11,yeni,hata,1,1,D,6.72,7.02,4-4-2,4-2-3-1,29.95041322314049,468255681.8181818,42568698.34710744,6.8590909090909085,32.98421052631579,198939473.6842105,19893947.36842105,6.955,-3.033797303175298,269316208.1339713,-0.0959090909090916,1,8.0,11.0,8.0,13.0,30.23305785123967,30.30429752066116,36837231.40495868,33730428.71900827,6.828181818181818,6.8322818181818175,5.0,14.0,8.0,15.0,32.20736842105263,32.12033492822966,41946157.89473684,79505234.44976076,6.941,6.942354545454545
