Season_x,Week,Match Date_x,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Match Date_y,Season_y,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Match Date,Season,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.424242424242422,2518677083.333333,228970643.9393939,6.915454545454545,2.977671451355665,-2347549451.7543855,-0.09999999999999964,1,2021-01-21,20/21,8.0,14.0,6.0,14.0,31.28851674641148,30.995135566188196,21712837.32057416,26548889.420521,6.856309090909091,6.863487878787879,2021-01-21,20/21,16.0,31.0,13.0,28.0,29.163636363636364,29.406060606060606,187864772.72727272,183186553.03030303,6.965636363636364,6.958636363636364
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.424242424242422,2518677083.333333,228970643.9393939,6.915454545454545,2.977671451355665,-2347549451.7543855,-0.09999999999999964,1,2021-01-21,20/21,8.0,14.0,6.0,14.0,31.28851674641148,30.995135566188196,21712837.32057416,26548889.420521,6.856309090909091,6.863487878787879,2021-01-21,20/21,14.0,34.0,13.0,28.0,28.927272727272726,29.196969696969695,196580227.27272725,190821098.48484847,6.964181818181818,6.94809090909091
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.424242424242422,2518677083.333333,228970643.9393939,6.915454545454545,2.977671451355665,-2347549451.7543855,-0.09999999999999964,1,2021-01-21,20/21,8.0,15.0,6.0,13.0,31.311004784688997,31.08094098883572,21557511.961722486,24860296.916533757,6.848000000000001,6.859811111111111,2021-01-21,20/21,16.0,31.0,13.0,28.0,29.163636363636364,29.406060606060606,187864772.72727272,183186553.03030303,6.965636363636364,6.958636363636364
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.424242424242422,2518677083.333333,228970643.9393939,6.915454545454545,2.977671451355665,-2347549451.7543855,-0.09999999999999964,1,2021-01-21,20/21,8.0,15.0,6.0,13.0,31.311004784688997,31.08094098883572,21557511.961722486,24860296.916533757,6.848000000000001,6.859811111111111,2021-01-21,20/21,14.0,34.0,13.0,28.0,28.927272727272726,29.196969696969695,196580227.27272725,190821098.48484847,6.964181818181818,6.94809090909091
20/21,Round 20,21/01/21,anka,kası,1,0,7.04,6.75,4-2-3-1,4-3-3,28.944664031620558,1916051086.9565217,174186462.45059288,6.8090909090909095,30.67003367003367,695238888.8888888,63203535.35353535,6.839090909090908,-1.7253696384131132,1220812198.067633,-0.029999999999998472,1,2021-01-21,20/21,6.0,15.0,6.0,16.0,28.833992094861664,28.90830039525692,144312114.62450594,120638507.90513834,6.75818181818182,6.747454545454545,2021-01-21,20/21,5.0,8.0,4.0,7.0,30.154208754208753,30.45993265993266,74445555.55555555,56168383.83838383,6.81509090909091,6.819
20/21,Round 20,21/01/21,siva,fene,1,1,6.69,6.78,4-1-4-1,4-2-3-1,34.07905138339921,237511956.52173913,21591996.04743083,6.887272727272727,31.727272727272727,2011100000.0,182827272.72727272,6.890909090909091,2.351778656126484,-1773588043.478261,-0.003636363636363882,1,2021-01-21,20/21,8.0,12.0,7.0,14.0,33.89486166007905,33.78355731225297,21851304.347826086,21006333.00395257,6.901454545454546,6.891618181818183,2021-01-21,20/21,12.0,22.0,13.0,19.0,31.50909090909091,31.353198653198653,187917727.27272725,269988508.4175084,6.942909090909092,6.929163636363637
20/21,Round 19,15/01/21,genç,fati,1,3,6.64,6.96,4-2-3-1,4-2-3-1,31.98181818181818,143877272.72727275,14387727.272727275,6.742,31.03827751196172,280977631.57894737,25543421.05263158,6.861818181818182,0.9435406698564606,-137100358.85167462,-0.11981818181818227,1,2021-01-15,20/21,8.0,13.0,7.0,14.0,31.912121212121214,31.601010101010104,11692792.92929293,9689487.373737374,6.718422222222221,6.729155555555556,2021-01-15,20/21,8.0,14.0,7.0,15.0,31.11690590111643,30.90933014354067,25096688.99521531,28237481.924508236,6.864551515151516,6.867164646464647
20/21,Round 19,16/01/21,kony,gözt,2,3,6.93,6.88,4-2-3-1,4-3-3,30.821739130434786,2530960869.565217,253096086.9565217,6.869999999999999,29.778181818181817,1275363000.0,115942090.9090909,6.848181818181818,1.0435573122529682,1255597869.565217,0.021818181818181515,1,2021-01-16,20/21,12.0,20.0,6.0,13.0,30.480553359683796,30.27160737812912,186246845.84980235,198487345.52042156,6.885272727272726,6.899739393939393,2021-01-16,20/21,5.0,10.0,4.0,11.0,30.336000000000002,29.973454545454548,92314163.63636364,92564400.0,6.836363636363638,6.840000000000001
20/21,Round 19,16/01/21,başa,siva,1,1,6.75,6.72,4-4-2,4-1-4-1,31.346153846153847,8585723076.923077,858572307.6923077,6.755,34.07905138339921,237436956.52173913,21585177.86561265,6.912727272727272,-2.732897537245364,8348286120.401338,-0.15772727272727227,1,2021-01-16,20/21,6.0,14.0,8.0,10.0,31.471118881118876,31.29055944055944,688418442.3076923,787961096.1538461,6.79050909090909,6.793554545454545,2021-01-16,20/21,7.0,12.0,6.0,14.0,33.89486166007905,33.83810276679842,21851304.347826086,19008151.18577075,6.900545454545454,6.887618181818182
20/21,Round 19,16/01/21,gazi,kays,2,1,6.88,6.73,5-3-2,4-2-3-1,33.69960474308301,3431521.7391304346,311956.52173913043,6.835454545454545,29.310344827586206,1690387068.9655173,153671551.72413793,6.803636363636364,4.389259915496801,-1686955547.2263868,0.0318181818181813,1,2021-01-16,20/21,9.0,21.0,10.0,23.0,33.336363636363636,33.306126482213436,319954.5454545454,333742.09486166004,6.8332727272727265,6.831636363636363,2021-01-16,20/21,5.0,7.0,6.0,9.0,30.104137931034483,30.636238244514107,122963120.68965515,113688503.9184953,6.8005272727272725,6.798854545454544
