Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
23/24,Round 34,26/04/24,Adana DS,Galatasaray,0,3,6.71,7.57,4-2-3-1,4-2-3-1,Ş. Mahammadaliev; Y. Atal; A. Gravillon; (c) S. Güler; M. Mohammadi; É. Michut; Maestro; Y. Barası; S. Mendoza; Y. Erdoğan; M. Balotelli,(c) F. Muslera; K. Ayhan; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi
23/24,Round 34,27/04/24,Kasımpaşa,Samsunspor,1,0,7.16,6.84,4-1-4-1,4-2-3-1,A. Gianniotis; C. Winck; J. Porozo; Y. Özcan; M. B. Ouanes; G. Gül; M. Fall; H. Hajradinović; (c) A. Kara; J. Ngoy; N. Da Costa,O. Kocuk; (c) Z. Yavru; A. Öztürk; R. V. Drongelen; M. Bola; Y. A. Bennasser; F. Tait; C. Holse; T. Antalyalı; E. Kılınç; M. Mouandilmadji
23/24,Round 34,27/04/24,Sivasspor,Konyaspor,1,0,6.81,6.86,5-4-1,4-2-3-1,Đ. Nikolić; M. Paluli; A. Poungouras; A. Appindangoyé; S. Camara; (c) Z. Erdal; A. Turgunboev; C. Charisis; İ. Akdağ; C. N'Jie; R. Manaj,J. Słowik; A. Oğuz; A. Demirbağ; F. Damjanović; G. H. Sityá; (c) S. Dikmen; S. N'Zonzi; A. Ndao; A. Cicâldău; L. Prip; S. Cikalleshi
23/24,Round 34,27/04/24,Fenerbahçe,Beşiktaş,2,1,7.15,6.49,4-2-3-1,4-2-3-1,D. Livaković; B. Osayi-Samuel; R. Becão; A. Djiku; F. Kadıoğlu; İ. Yüksek; Fred; İ. C. Kahveci; S. Szymański; (c) D. Tadić; M. Batshuayi,M. Günok; (c) N. Uysal; J. Worrall; O. Colley; A. Masuaku; M. A. Musrati; G. Fernandes; M. Rashica; E. Muçi; S. Kilicsoy; J. Muleka
23/24,Round 34,27/04/24,Hatayspor,Başakşehir,1,2,6.86,6.92,4-1-4-1,4-2-3-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; N. Maksimović; C. Sertel; C. Massanga; R. Rivas; Ö. F. Beyaz; F. Dele-Bashiru; J. Fernandes; C. Strandberg,M. Şengezer; L. Duarte; O. Ba; J. Opoku; (c) Ö. A. Şahiner; Souza; B. Özcan; E. İlkhan; D. Pelkas; Davidson; K. Piątek
23/24,Round 34,28/04/24,Alanyaspor,İstanbulspor,6,0,7.57,6.17,4-2-3-1,5-4-1,E. Taşkıran; F. Hadergjonaj; F. Bayır; F. Aliti; J. Balkovec; Richard Cândido; N. Janvier; O. Aydın; (c) E. Karaca; Y. Özdemir; A. Hassan,A. Arda; D. Sambissa; D. Duhaney; M. Yeşil; S. Deli; (c) A. Yaşar; M. Mamadou; O. Erdoğan; Jackson; V. Temel; E. K. Gültekin
23/24,Round 34,28/04/24,Pendikspor,Kayserispor,1,2,7.03,6.73,4-2-3-1,4-2-3-1,B. Öğür; (c) E. Özgenç; A. Öztürk; M. Akça; N. Sequeira; B. Ndiaye; A. Lusamba; H. Akbunar; G. Kaya; M. Thiam; M. U. Nayir,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; H. A. Kaldırım; O. Shukurov; M. Bourabia; A. B. Morte; M. Cardoso; R. Civelek; D. Nazon
23/24,Round 34,28/04/24,Rizespor,Ankaragücü,2,2,6.8,7.08,4-2-3-1,4-1-4-1,(c) G. Akkan; M. T. Şahin; H. Alikulov; E. Topçu; C. Højer; J. Shelvey; I. Olawoyin; D. Babajide; D. Varešanović; A. Zeqiri; A. Gaich,B. H. Güngördü; A. Çankaya; U. Radaković; M. Çetin; S. Kitsiou; (c) T. Ciğerci; C. Bassogog; A. Flips; E. Bekiroğlu; R. Cephas; A. Sowe
23/24,Round 34,28/04/24,Trabzonspor,Gaziantep,4,2,7.13,6.66,4-3-3,4-3-3,(c) U. Çakır; T. Meunier; B. Mendy; S. Denswil; A. Boşluk; E. Bardhi; B. A. Özdemir; N. Pépé; E. Višća; P. Onuachu; T. Fountas,F. Niță; E. Ersoy; A. Kızıldağ; (c) P. Djilobodji; S. M'Bakata; J. Monteiro; N. N'Koulou; A. Maxim; D. Sorescu; D. Drăguş; M. Eskihellaç
23/24,Round 34,29/04/24,Karagümrük,Antalyaspor,4,1,7.02,6.42,4-2-3-1,4-2-3-1,S. Sirigu; F. Veseli; D. Biraschi; F. Ceccherini; (c) M. Mercan; M. Rohdén; S. Feghouli; C. Keleş; V. Eysseric; G. Yalçın; Marcão,H. Leite; A. Gerxhaliu; B. Öztürk; Ö. Toprak; (c) G. Vural; J. Kałuziński; E. Rakip; E. Uzun; R. Safuri; S. Larsson; S. v. d. Streek
23/24,Round 33,19/04/24,Beşiktaş,Ankaragücü,2,0,7.32,6.73,4-2-3-1,4-2-3-1,E. Destanoğlu; J. Svensson; J. Worrall; (c) N. Uysal; S. E. Terzi; M. A. Musrati; G. Fernandes; R. Ghezzal; E. Muçi; M. Rashica; J. Muleka,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; K. Karataş; A. K. Güneren; (c) T. Ciğerci; O. Moruțan; E. Bekiroğlu; C. Bassogog; A. Sowe
23/24,Round 33,20/04/24,İstanbulspor,Karagümrük,1,2,6.79,,5-4-1,4-3-3,A. Arda; D. Sambissa; M. Yeşil; S. Deli; R. Coly; (c) A. Yaşar; M. Mamadou; M. Vorobjovas; F. Loshaj; Jackson; E. K. Gültekin,S. Sirigu; N. Sangaré; D. Biraschi; K. Günter; (c) M. Mercan; M. Rohdén; D. Kourbelis; A. Bertolacci; E. Mor; Marcão; C. Keleş
23/24,Round 33,20/04/24,Konyaspor,Alanyaspor,0,2,6.65,7.13,4-2-3-1,4-2-3-1,D. Ertaş; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; S. N'Zonzi; (c) S. Dikmen; A. Ndao; O. Ülgün; V. Ethemi; B. J. Sambou,E. Taşkıran; F. Hadergjonaj; F. Bayır; F. Aliti; J. Balkovec; Richard Cândido; N. Janvier; O. Aydın; (c) E. Karaca; Y. Özdemir; A. Hassan
23/24,Round 33,20/04/24,Kayserispor,Trabzonspor,1,2,6.64,7.01,4-3-3,4-1-4-1,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; H. A. Kaldırım; K. K. Yılmaz; O. Shukurov; M. Bourabia; A. B. Morte; S. Bahoken; M. Cardoso,(c) U. Çakır; T. Meunier; B. Mendy; S. Denswil; E. Elmalı; B. A. Özdemir; E. Višća; E. Bardhi; N. Pépé; T. Fountas; E. Destan
23/24,Round 33,20/04/24,Samsunspor,Adana DS,1,1,6.82,7.07,4-2-3-1,4-2-3-1,O. Kocuk; (c) Z. Yavru; A. Öztürk; R. V. Drongelen; S. Gönül; T. Antalyalı; Y. A. Bennasser; A. Muja; O. Ntcham; E. Kılınç; M. Mouandilmadji,Ş. Mahammadaliev; Y. Atal; A. Gravillon; (c) S. Güler; M. Mohammadi; E. Akbaba; Maestro; Y. Sarı; S. Mendoza; Y. Erdoğan; M. Balotelli
23/24,Round 33,21/04/24,Başakşehir,Rizespor,2,0,7.01,6.61,4-2-3-1,4-4-1-1,M. Şengezer; L. Duarte; O. Ba; J. Opoku; (c) Ö. A. Şahiner; Souza; B. Özcan; D. Türüç; D. Pelkas; J. Figueiredo; K. Piątek,(c) G. Akkan; M. T. Şahin; H. Alikulov; E. Topçu; C. Højer; D. Babajide; I. Olawoyin; M. Sarıkaya; A. Zeqiri; D. Varešanović; M. Minchev
23/24,Round 33,21/04/24,Antalyaspor,Hatayspor,2,1,7.06,6.59,4-1-4-1,4-1-4-1,H. Leite; E. Yeşilyurt; (c) V. Sarı; Ö. Toprak; G. Vural; J. Kałuziński; S. v. d. Streek; R. Safuri; D. Šarić; S. Larsson; A. Buksa,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; N. Maksimović; F. Ghoulam; C. Massanga; R. Rivas; F. Dele-Bashiru; Ö. F. Beyaz; J. Fernandes; C. Strandberg
23/24,Round 33,21/04/24,Galatasaray,Pendikspor,4,1,7.04,6.69,4-2-3-1,4-2-3-1,(c) F. Muslera; K. Ayhan; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi,E. Canpolat; S. Asan; A. Öztürk; M. Akça; N. Sequeira; B. Ndiaye; A. Lusamba; (c) H. Akbunar; G. Kaya; M. Thiam; M. U. Nayir
23/24,Round 33,21/04/24,Gaziantep,Kasımpaşa,2,0,7.01,6.74,4-1-4-1,4-1-4-1,F. Niță; E. Ersoy; A. Kızıldağ; (c) P. Djilobodji; S. M'Bakata; M. Jevtović; D. Sorescu; J. Monteiro; A. Maxim; M. Eskihellaç; D. Drăguş,A. Gianniotis; C. Winck; (c) K. Omeruo; Y. Özcan; E. Gedik; G. Gül; M. Fall; H. Hajradinović; A. Kara; M. B. Ouanes; N. Da Costa
23/24,Round 33,22/04/24,Sivasspor,Fenerbahçe,2,2,6.71,7.01,5-4-1,4-2-3-1,A. Ş. Vural; M. Paluli; A. Poungouras; A. Appindangoyé; S. Camara; (c) U. Çiftçi; B. Koita; B. Elmaz; İ. Akdağ; Q. Menig; R. Manaj,D. Livaković; B. Osayi-Samuel; R. Becão; A. Djiku; F. Kadıoğlu; İ. Yüksek; Fred; İ. C. Kahveci; S. Szymański; D. Tadić; (c) E. Džeko
