Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
22/23,Round 26,18/03/23,Adana DS,Antalyaspor,2,0,7.14,6.54,4-4-2,4-2-3-1,E. Özbir; J. Svensson; M. Çetin; S. Güler; K. Rodrigues; Y. Sarı; (c) B. Stambouli; B. Ndiaye; D. Babajide; C. Ndiaye; E. Akbaba,H. Leite; S. Floranus; (c) V. Sarı; E. Uzunhan; G. Vural; B. Balcı; U. Akyol; A. Ndao; Fredy; S. Larsson; H. Wright
22/23,Round 26,18/03/23,Beşiktaş,İstanbulspor,3,1,6.97,6.49,4-1-4-1,4-4-1-1,M. Günok; O. Bulut; T. T. Sanuç; O. Colley; A. Masuaku; A. Hadžiahmetović; R. Ghezzal; S. Uçan; G. Fernandes; (c) C. Tosun; V. Aboubakar,D. Jensen; D. Duhaney; (c) M. Yeşil; S. Deli; T. D. Aksu; J. Lokilo; M. Ba; M. Sarıkaya; V. Ethemi; F. Loshaj; E. Eze
22/23,Round 26,19/03/23,Karagümrük,Başakşehir,2,2,6.88,6.75,4-3-3,4-1-4-1,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; M. Ricci; A. Bertolacci; E. Colley; M. Diagne; (c) F. Borini,V. Babacan; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; L. Biglia; P. P. Keny; (c) M. Tekdemir; D. Aleksić; S. Gürler; J. Figueiredo
22/23,Round 26,19/03/23,Sivasspor,Ankaragücü,2,0,7.16,6.54,4-3-3,4-2-3-1,A. Ş. Vural; M. Paluli; A. Appindangoyé; D. Goutas; (c) Z. Erdal; S. Sáiz; I. Cofie; F. Ulvestad; C. N'Jie; L. James; E. Yeşilyurt,G. Akkan; S. Kitsiou; A. Çankaya; U. Radaković; H. A. Kaldırım; T. Antalyalı; L. Diack; E. Kılınç; (c) G. Zahid; Milson; A. Sowe
22/23,Round 26,19/03/23,Alanyaspor,Fenerbahçe,1,3,6.43,6.87,4-2-3-1,4-4-2,R. Rúnarsson; D. Candeias; F. Bayır; J. K. Rassoul; Y. Özdemir; U. Güneş; A. Lusamba; (c) E. Karaca; E. Bekiroğlu; I. Cavaleiro; E. Koulouris,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; Gustavo Henrique; J. Oosterwolde; D. Rossi; Willian Arão; İ. Yüksek; İ. C. Kahveci; João Pedro Galvão; Enner Valencia
22/23,Round 25,10/03/23,Giresunspor,Karagümrük,2,2,6.53,6.79,4-2-3-1,4-3-3,F. Kaplan; H. Bilazer; R. Arias; A. Pérez; F. C. Genç; R. Mejía; G. Sağlam; (c) Serginho; V. Savićević; B. Sainz; R. Bajić,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; A. Bertolacci; M. Ricci; M. Ozdoev; E. Colley; M. Diagne; (c) F. Borini
22/23,Round 25,11/03/23,Antalyaspor,Kayserispor,4,0,7.1,6.58,4-2-3-1,3-5-2,H. Leite; B. Balcı; (c) V. Sarı; E. Uzunhan; G. Vural; U. Akyol; Fernando; A. Ndao; Fredy; S. Larsson; H. Wright,B. Bayazit; (c) D. Kolovetsios; A. Kocaman; A. Uzodimma; G. Sazdağı; A. Karimi; Campanharo; O. Kemen; C. Mané; M. Thiam; M. Cardoso
22/23,Round 25,11/03/23,Galatasaray,Kasımpaşa,1,0,6.91,6.79,4-2-3-1,4-4-2,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; S. Adekugbe; L. Torreira; S. Oliveira; Y. Akgün; J. Mata; K. Aktürkoğlu; M. Icardi,G. Güvenç; F. Silva; (c) R. Donk; P. Djilobodji; Y. Özcan; M. Fall; M. Tirpan; M. Malsa; H. Hajradinović; B. Koita; M. Chouiar
22/23,Round 25,12/03/23,Ankaragücü,Alanyaspor,2,0,7.01,6.71,4-2-3-1,4-2-3-1,G. Akkan; S. Kitsiou; A. Çankaya; U. Radaković; H. A. Kaldırım; T. Antalyalı; L. Diack; Milson; (c) G. Zahid; E. Kılınç; A. Sowe,R. Rúnarsson; F. Aksoy; F. Bayır; Z. Feddal; Y. Özdemir; U. Güneş; A. Lusamba; (c) E. Karaca; E. Bekiroğlu; I. Cavaleiro; A. Hassan
22/23,Round 25,12/03/23,Trabzonspor,Adana DS,4,1,7.11,6.44,4-2-3-1,4-4-2,(c) U. Çakır; B. Peres; M. Bartra; V. Hugo; J. Stryger Larsen; D. Haspolat; M. Siopis; A. Ömür; Y. Yazıcı; E. Bardhi; M. Gómez,E. Özbir; J. Svensson; M. Çetin; S. Güler; K. Rodrigues; Y. Sarı; (c) B. Stambouli; B. Ndiaye; D. Babajide; E. Akbaba; Y. Belhanda
22/23,Round 25,12/03/23,Başakşehir,Beşiktaş,0,2,6.53,7.15,4-3-3,4-1-4-1,V. Babacan; Ş. Özbayraklı; L. Duarte; A. Touba; L. Lima; D. Türüç; (c) L. Biglia; D. Aleksić; A. Januzaj; J. Figueiredo; P. Szysz,M. Günok; O. Bulut; T. T. Sanuç; O. Colley; A. Masuaku; A. Hadžiahmetović; N. Redmond; S. Uçan; G. Fernandes; (c) C. Tosun; V. Aboubakar
22/23,Round 25,13/03/23,İstanbulspor,Sivasspor,3,0,7.05,6.39,4-4-1-1,4-3-3,D. Jensen; D. Duhaney; O. Erdoğan; M. Yeşil; T. D. Aksu; J. Lokilo; M. Sarıkaya; M. Ba; V. Ethemi; (c) E. Rroca; E. Eze,A. Ş. Vural; A. Okumuş; D. Goutas; S. Camara; (c) Z. Erdal; F. Ulvestad; K. Keïta; C. Charisis; C. N'Jie; L. James; M. Gradel
22/23,Round 24,03/03/23,Alanyaspor,Başakşehir,1,0,6.98,6.66,4-2-3-1,4-1-4-1,R. Rúnarsson; F. Aksoy; F. Bayır; Z. Feddal; Y. Özdemir; L. Fer; U. Güneş; (c) E. Karaca; E. Bekiroğlu; I. Cavaleiro; A. Hassan,V. Babacan; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; (c) L. Biglia; D. Türüç; E. Karzev; B. Özcan; S. Gürler; S. Okaka
22/23,Round 24,04/03/23,Karagümrük,Sivasspor,4,3,6.93,6.84,4-3-3,4-3-3,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; A. Bertolacci; M. Ricci; M. Ozdoev; E. Colley; M. Diagne; (c) F. Borini,A. Ş. Vural; E. Yeşilyurt; A. Appindangoyé; D. Goutas; U. Çiftçi; (c) H. Arslan; I. Cofie; C. Charisis; S. Sáiz; J. Caicedo; M. Gradel
22/23,Round 24,04/03/23,Trabzonspor,Ümraniyespor,1,2,6.72,7.06,4-2-3-1,5-4-1,(c) U. Çakır; B. Peres; M. Bartra; S. Denswil; J. Stryger Larsen; D. Haspolat; M. Siopis; A. Ömür; M. Gómez; M. Trézéguet; U. Bozok,O. Özdemir; V. Gheorghe; M. Eser; (c) T. Glumac; A. Epureanu; O. Atasayar; Geraldo; O. Gürbulak; A. Mršić; J. Sekidika; M. U. Nayir
22/23,Round 24,04/03/23,Kayserispor,Fenerbahçe,1,2,6.73,6.91,4-1-4-1,4-3-1-2,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; L. Carole; Campanharo; O. Kemen; M. Cardoso; A. Karimi; C. Mané; M. Thiam,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; A. Szalai; Lincoln; A. Güler; Willian Arão; D. Rossi; M. Crespo; J. King; Enner Valencia
22/23,Round 24,05/03/23,Konyaspor,Giresunspor,0,0,6.95,6.93,4-2-3-1,4-2-3-1,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; M. Moreno; A. Pozuelo; M. Emreli; M. Demir,F. Kaplan; G. Sağlam; R. Arias; A. Pérez; A. Uludağ; J. Campuzano; R. Mejía; (c) Serginho; V. Savićević; B. Sainz; R. Bajić
22/23,Round 24,05/03/23,Beşiktaş,Ankaragücü,2,1,6.96,6.81,4-1-4-1,4-2-3-1,M. Günok; O. Bulut; T. T. Sanuç; O. Colley; A. Masuaku; A. Hadžiahmetović; N. Redmond; S. Uçan; G. Fernandes; (c) C. Tosun; V. Aboubakar,G. Akkan; K. Malcuit; U. Radaković; N. Mujakić; H. A. Kaldırım; Pedrinho; L. Diack; E. Kılınç; (c) G. Zahid; G. Beridze; A. Sowe
22/23,Round 24,06/03/23,Kasımpaşa,Antalyaspor,3,1,7.01,6.44,4-3-3,4-2-3-1,E. Canpolat; F. Silva; (c) R. Donk; P. Djilobodji; M. B. Ouanes; M. Tirpan; M. Malsa; V. Eysseric; M. Fall; B. Koita; M. Chouiar,H. Leite; B. Balcı; (c) V. Sarı; Ö. Toprak; G. Vural; Fernando; E. Rakip; H. Ghacha; A. Mehmedi; S. Larsson; B. Yıldırım
22/23,Round 23,04/02/23,Ankaragücü,Karagümrük,0,2,6.65,7.14,4-2-3-1,4-3-3,G. Akkan; F. Üzüm; U. Radaković; (c) N. Mujakić; Marlon; L. Diack; T. Antalyalı; E. Kılınç; Pedrinho; G. Beridze; A. Sowe,B. A. Şen; S. Dursun; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; M. Ricci; M. Ozdoev; E. Colley; M. Diagne; (c) F. Borini
22/23,Round 23,04/02/23,Sivasspor,Beşiktaş,1,0,7.0,6.58,4-3-3,4-2-3-1,A. Ş. Vural; E. Yeşilyurt; D. Goutas; C. Osmanpaşa; U. Çiftçi; (c) H. Arslan; I. Cofie; C. Charisis; S. Sáiz; J. Caicedo; M. Gradel,M. Günok; V. Rosier; Welinton; R. Saiss; A. Masuaku; T. Bingöl; (c) N. Uysal; C. Tosun; A. Hadžiahmetović; G. N'Koudou; V. Aboubakar
22/23,Round 23,04/02/23,Antalyaspor,Gaziantep,1,0,6.91,6.65,4-2-3-1,4-1-4-1,H. Leite; B. Balcı; (c) V. Sarı; Ö. Toprak; G. Vural; Fredy; Fernando; A. Ndao; S. Larsson; D. Sinik; L. Adriano,(c) G. Güvenç; Ö. Artan; E. Ersoy; A. Kızıldağ; M. Hanousek; M. Jevtović; S. Kitsiou; F. Soyalp; A. Maxim; L. Marković; J. Figueiredo
22/23,Round 23,05/02/23,İstanbulspor,Alanyaspor,2,1,6.84,6.88,4-1-4-1,3-4-2-1,D. Jensen; D. Duhaney; O. Erdoğan; M. Yeşil; T. D. Aksu; M. Ba; J. Lokilo; M. Sarıkaya; (c) E. Rroca; V. Ethemi; E. K. Gültekin,R. Rúnarsson; F. Bayır; L. Fer; J. Balkovec; Z. Ferhat; A. Lusamba; I. Doumbia; Y. Özdemir; (c) E. Karaca; I. Cavaleiro; A. Hassan
22/23,Round 23,05/02/23,Hatayspor,Kasımpaşa,1,0,6.84,6.76,4-3-2-1,4-3-3,E. Kardeşler; K. Alıcı; B. Bekaroğlu; R. B. Yılmaz; E. Aksoy; R. Aabid; M. Boudjemaa; K. Kanak; (c) A. E. Kaabi; J. Dudziak; Z. Luís,E. Canpolat; F. Silva; (c) T. Serbest; R. Donk; Y. Özcan; V. Eysseric; M. Tirpan; H. Hajradinović; M. B. Ouanes; M. Fall; M. Chouiar
22/23,Round 23,05/02/23,Galatasaray,Trabzonspor,2,1,6.78,6.81,4-2-3-1,4-1-4-1,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; L. Dubois; L. Torreira; S. Oliveira; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi,(c) U. Çakır; J. Stryger Larsen; S. Denswil; V. Hugo; E. Elmalı; M. Siopis; M. Elhtemy; A. Ömür; A. Bakasetas; M. Trézéguet; M. Gómez
22/23,Round 23,25/02/23,Fenerbahçe,Konyaspor,4,0,7.21,6.05,4-1-3-2,4-2-3-1,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; A. Szalai; Lincoln; Willian Arão; D. Rossi; M. Zajc; İ. C. Kahveci; Enner Valencia; J. King,E. Erentürk; A. Oğuz; A. Demirbağ; F. Calvo; (c) G. H. Sityá; S. Dikmen; A. Bouchalakis; O. Ülgün; E. Çekiçi; K. Michalak; M. B. Diouf
22/23,Round 23,25/02/23,Giresunspor,Kayserispor,1,2,6.86,6.9,4-2-3-1,4-1-4-1,(c) O. Piri; H. Bilazer; R. Arias; A. Pérez; A. Uludağ; R. Mejía; J. Campuzano; Serginho; V. Savićević; B. Sainz; R. Bajić,B. Bayazit; G. Sazdağı; M. Hosseini; A. Kocaman; J. Attamah; Campanharo; E. Başsan; M. Cardoso; A. Karimi; C. Mané; (c) M. Thiam
22/23,Round 23,26/02/23,Ümraniyespor,Adana DS,1,1,6.98,7.12,5-4-1,4-2-4,O. Özdemir; V. Gheorghe; M. Eser; (c) T. Glumac; A. Epureanu; O. Atasayar; Geraldo; O. Gürbulak; I. Sackey; J. Sekidika; M. U. Nayir,E. Özbir; J. Svensson; M. Çetin; S. Güler; K. Rodrigues; (c) B. Stambouli; B. Ndiaye; Y. Sarı; E. Akbaba; Y. Belhanda; H. Onyekuru
22/23,Round 22,31/01/23,Alanyaspor,Sivasspor,0,3,6.53,7.01,3-4-2-1,4-1-4-1,R. Rúnarsson; J. K. Rassoul; L. Fer; J. Balkovec; P. Pereira; U. Güneş; I. Doumbia; Z. Ferhat; (c) E. Karaca; E. Bekiroğlu; A. Hassan,A. Ş. Vural; A. Okumuş; D. Goutas; C. Osmanpaşa; U. Çiftçi; I. Cofie; E. Yeşilyurt; (c) H. Arslan; C. Charisis; M. Gradel; M. Yatabaré
22/23,Round 22,31/01/23,Karagümrük,Beşiktaş,1,1,6.76,6.79,4-3-3,4-2-3-1,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; A. Bertolacci; M. Ricci; M. Ozdoev; E. Colley; C. Kazim-Richards; (c) F. Borini,M. Günok; V. Rosier; Welinton; T. T. Sanuç; A. Masuaku; G. Fernandes; T. Bingöl; N. Redmond; D. Alli; (c) C. Tosun; V. Aboubakar
22/23,Round 22,01/02/23,Gaziantep,Hatayspor,4,1,7.02,6.46,4-1-4-1,4-2-3-1,(c) G. Güvenç; Ö. Artan; E. Ersoy; P. Djilobodji; H. I. Pehlivan; M. Jevtović; M. Eskihellaç; F. Soyalp; A. Maxim; L. Marković; J. Figueiredo,E. Kardeşler; (c) K. A. Çörekçi; B. Bekaroğlu; R. B. Yılmaz; S. Adekugbe; M. Çağıran; R. Ribeiro; S. Lobjanidze; M. Boudjemaa; A. E. Kaabi; B. Yıldırım
22/23,Round 22,01/02/23,Kasımpaşa,Giresunspor,5,1,7.13,6.26,4-3-3,4-2-3-1,E. Canpolat; M. Tirpan; (c) T. Serbest; R. Donk; Y. Özcan; V. Eysseric; A. Kara; H. Hajradinović; M. B. Ouanes; M. Fall; M. Chouiar,(c) O. Piri; H. Bilazer; G. Sağlam; A. Pérez; A. Uludağ; R. Mejía; J. Campuzano; Serginho; V. Savićević; B. Sainz; R. Bajić
22/23,Round 22,01/02/23,Galatasaray,Ümraniyespor,3,2,7.11,6.64,4-2-3-1,4-3-3,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; E. Taşdemir; L. Torreira; S. Oliveira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi,O. Özdemir; S. Popov; I. Sackey; A. Epureanu; O. Atasayar; O. Gürbulak; K. K. Yılmaz; D. Avounou; Geraldo; M. U. Nayir; (c) O. Ayık
22/23,Round 22,01/02/23,Trabzonspor,Antalyaspor,2,0,6.94,6.58,4-1-4-1,4-2-3-1,(c) U. Çakır; J. Stryger Larsen; M. Bartra; S. Denswil; E. Elmalı; M. Siopis; T. Djaniny; A. Ömür; A. Bakasetas; M. Trézéguet; M. Gómez,H. Leite; B. Balcı; (c) V. Sarı; A. Gerxhaliu; G. Vural; Fredy; Fernando; A. Ndao; E. Rakip; D. Sinik; S. Larsson
22/23,Round 22,02/02/23,Kayserispor,Başakşehir,1,0,6.89,6.84,4-1-4-1,4-1-4-1,B. Bayazit; O. Bulut; M. Hosseini; A. Kocaman; L. Carole; (c) Campanharo; E. Başsan; O. Kemen; A. Karimi; C. Mané; G. Sazdağı,V. Babacan; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; (c) M. Tekdemir; D. Türüç; M. Özil; B. Özcan; S. Gürler; S. Okaka
22/23,Round 22,02/02/23,Konyaspor,İstanbulspor,0,1,6.91,7.03,4-2-3-1,4-1-4-1,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; S. Dikmen; B. Paz; R. Murić; E. Çekiçi; K. Michalak; M. B. Diouf,D. Jensen; D. Duhaney; O. Erdoğan; M. Yeşil; T. D. Aksu; M. Ba; J. Lokilo; M. Sarıkaya; (c) E. Rroca; V. Ethemi; E. Eze
22/23,Round 22,02/02/23,Adana DS,Fenerbahçe,1,1,7.01,6.92,4-2-4,4-1-3-2,E. Özbir; J. Svensson; M. Çetin; S. Güler; K. Rodrigues; (c) B. Stambouli; B. Ndiaye; D. Babajide; E. Akbaba; Y. Belhanda; H. Onyekuru,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; A. Szalai; Lincoln; Willian Arão; D. Rossi; M. H. Yandaş; İ. C. Kahveci; M. Batshuayi; Enner Valencia
22/23,Round 21,27/01/23,Beşiktaş,Alanyaspor,3,0,7.29,6.42,4-2-3-1,3-4-2-1,M. Günok; T. Bingöl; Welinton; T. T. Sanuç; A. Masuaku; S. Uçan; G. Fernandes; J. Muleka; D. Alli; (c) C. Tosun; V. Aboubakar,R. Rúnarsson; F. Bayır; L. Fer; F. Aksoy; D. Candeias; U. Güneş; A. Lusamba; Z. Ferhat; (c) E. Karaca; I. Cavaleiro; A. Hassan
22/23,Round 21,28/01/23,Sivasspor,Adana DS,1,2,7.0,7.06,4-3-3,4-2-4,A. Ş. Vural; A. Okumuş; D. Goutas; C. Osmanpaşa; (c) U. Çiftçi; K. Keïta; I. Cofie; C. Charisis; E. Yeşilyurt; M. Yatabaré; M. Gradel,E. Özbir; J. Svensson; M. Çetin; S. Güler; K. Rodrigues; (c) B. Stambouli; B. Ndiaye; D. Babajide; E. Akbaba; Y. Belhanda; H. Onyekuru
22/23,Round 21,28/01/23,Hatayspor,Trabzonspor,2,1,6.88,6.75,4-3-2-1,4-1-4-1,E. Kardeşler; (c) K. A. Çörekçi; B. Bekaroğlu; R. B. Yılmaz; S. Adekugbe; M. Boudjemaa; M. Çağıran; O. Ergün; S. Lobjanidze; K. Kanak; B. Yıldırım,(c) U. Çakır; B. Peres; M. Bartra; V. Hugo; E. Elmalı; M. Siopis; A. Bakasetas; Y. Yazıcı; E. Bardhi; T. Djaniny; M. Gómez
22/23,Round 21,28/01/23,Ankaragücü,Gaziantep,0,2,6.94,7.09,4-3-3,4-1-4-1,G. Akkan; A. Çankaya; U. Radaković; N. Mujakić; Marlon; (c) T. Ciğerci; L. Diack; T. Antalyalı; E. Kılınç; A. Sowe; G. Zahid,(c) G. Güvenç; S. Kitsiou; E. Ersoy; P. Djilobodji; H. I. Pehlivan; M. Jevtović; M. Eskihellaç; F. Soyalp; A. Maxim; L. Marković; J. Figueiredo
22/23,Round 21,28/01/23,Antalyaspor,Ümraniyespor,3,2,6.86,6.74,4-2-3-1,4-3-3,H. Leite; B. Balcı; (c) V. Sarı; Ö. Toprak; G. Vural; E. Rakip; Fernando; S. Gümüş; S. Nakajima; D. Sinik; S. Larsson,O. Özdemir; S. Popov; I. Sackey; A. Epureanu; E. Lenjani; (c) O. Gürbulak; K. K. Yılmaz; D. Avounou; Geraldo; M. U. Nayir; A. Bettaieb
22/23,Round 21,28/01/23,Giresunspor,Galatasaray,0,4,6.29,7.16,4-4-2,4-2-3-1,(c) O. Piri; H. Bilazer; R. Arias; K. Seven; A. Uludağ; Serginho; V. Savićević; G. Sağlam; B. Sainz; B. Kuwas; R. Bajić,(c) F. Muslera; S. Boey; V. Nelsson; E. Bayram; L. Dubois; L. Torreira; S. Oliveira; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi
22/23,Round 21,29/01/23,İstanbulspor,Kayserispor,2,4,6.58,6.96,5-4-1,4-1-4-1,D. Jensen; A. Yaşar; O. Erdoğan; (c) M. Yeşil; A. Mehremić; T. D. Aksu; J. Lokilo; M. Sarıkaya; M. Ba; V. Ethemi; E. Eze,B. Bayazit; O. Bulut; M. Hosseini; (c) D. Kolovetsios; L. Carole; Campanharo; M. Cardoso; O. Kemen; A. Karimi; C. Mané; G. Sazdağı
22/23,Round 21,29/01/23,Başakşehir,Konyaspor,2,0,6.97,6.61,4-1-4-1,4-2-3-1,V. Babacan; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; (c) M. Tekdemir; D. Türüç; D. Aleksić; B. Özcan; S. Gürler; S. Okaka,(c) I. Šehić; C. Karayel; A. Demirbağ; F. Calvo; G. H. Sityá; O. Ülgün; S. Dikmen; K. Michalak; E. Çekiçi; Z. Bytyqi; M. B. Diouf
22/23,Round 21,29/01/23,Fenerbahçe,Kasımpaşa,5,1,7.15,6.26,4-1-3-2,4-2-3-1,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; A. Szalai; Lincoln; Willian Arão; A. Güler; M. Zajc; İ. C. Kahveci; M. Batshuayi; Enner Valencia,E. Canpolat; M. Tirpan; D. Graovac; R. Donk; Y. Özcan; (c) H. Hajradinović; V. Eysseric; M. Fall; M. Chouiar; A. Engin; S. Bahoken
22/23,Round 20,20/01/23,Adana DS,Giresunspor,1,1,7.18,6.62,4-1-3-2,4-2-3-1,E. Özbir; J. Svensson; J. Manev; S. Güler; K. Rodrigues; B. Stambouli; E. Akbaba; (c) G. Inler; B. Ndiaye; Y. Sarı; Y. Belhanda,(c) O. Piri; H. Bilazer; R. Arias; A. Pérez; A. Uludağ; J. Campuzano; R. Mejía; Serginho; G. Sağlam; B. Sainz; R. Bajić
22/23,Round 20,21/01/23,Kasımpaşa,Başakşehir,1,3,6.76,6.89,4-3-3,4-1-4-1,E. Canpolat; M. Tirpan; S. Çiftpınar; R. Donk; Y. Özcan; (c) H. Hajradinović; V. Eysseric; B. Celina; M. Fall; S. Bahoken; M. B. Ouanes,V. Babacan; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; (c) M. Tekdemir; D. Türüç; D. Aleksić; B. Özcan; S. Gürler; P. P. Keny
22/23,Round 20,21/01/23,Galatasaray,Antalyaspor,2,1,6.89,6.74,4-2-3-1,4-2-3-1,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; E. Taşdemir; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi,H. Leite; S. Floranus; (c) V. Sarı; Ö. Toprak; G. Vural; U. Akyol; S. Aydoğdu; A. Mehmedi; S. Nakajima; S. Larsson; L. Adriano
22/23,Round 20,22/01/23,Gaziantep,Sivasspor,1,2,6.71,7.14,4-4-1-1,4-3-3,(c) G. Güvenç; S. Kitsiou; P. Djilobodji; A. Toșca; H. I. Pehlivan; M. Eskihellaç; M. Jevtović; A. Merkel; J. Figueiredo; L. Marković; A. Maxim,A. Ş. Vural; A. Okumuş; D. Goutas; C. Osmanpaşa; (c) U. Çiftçi; F. Ulvestad; I. Cofie; C. Charisis; E. Yeşilyurt; M. Yatabaré; M. Gradel
22/23,Round 20,22/01/23,Alanyaspor,Karagümrük,2,2,6.8,6.89,3-4-2-1,4-3-3,R. Rúnarsson; L. Fer; F. Bayır; J. Balkovec; Z. Ferhat; U. Güneş; A. Lusamba; Y. Özdemir; (c) E. Karaca; E. Bekiroğlu; A. Hassan,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; M. Ricci; M. Ozdoev; E. Colley; M. Diagne; (c) F. Borini
22/23,Round 20,22/01/23,Kayserispor,Beşiktaş,0,2,6.7,6.87,4-2-3-1,4-2-3-1,C. Gönen; O. Bulut; M. Hosseini; D. Kolovetsios; L. Carole; O. Kemen; Campanharo; M. Cardoso; (c) B. Mensah; C. Mané; G. Sazdağı,M. Günok; V. Rosier; T. T. Sanuç; R. Saiss; A. Masuaku; S. Uçan; G. Fernandes; J. Muleka; N. Redmond; T. Bingöl; (c) C. Tosun
22/23,Round 20,22/01/23,Trabzonspor,İstanbulspor,4,0,7.19,6.51,4-1-4-1,4-1-4-1,(c) U. Çakır; B. Peres; M. Bartra; S. Denswil; E. Elmalı; M. Siopis; A. Ömür; Y. Yazıcı; A. Bakasetas; T. Djaniny; M. Gómez,D. Jensen; O. Berber; O. Erdoğan; M. Yeşil; A. Yaşar; M. Ba; J. Topalli; M. Sarıkaya; (c) E. Rroca; V. Ethemi; E. Eze
22/23,Round 20,23/01/23,Konyaspor,Ankaragücü,0,1,6.82,6.91,4-2-3-1,4-3-3,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; S. Dikmen; B. Paz; K. Michalak; E. Çekiçi; Z. Bytyqi; M. B. Diouf,G. Akkan; A. Çankaya; U. Radaković; N. Mujakić; Marlon; Pedrinho; (c) T. Ciğerci; G. Zahid; E. Kılınç; A. Sowe; A. Chatzigiovanis
22/23,Round 20,23/01/23,Ümraniyespor,Fenerbahçe,1,2,6.65,6.95,4-3-3,4-4-2,O. Özdemir; S. Popov; Allyson; (c) T. Glumac; O. Atasayar; O. Gürbulak; I. Sackey; K. K. Yılmaz; O. Ayık; M. U. Nayir; A. Bettaieb,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; A. Szalai; Lincoln; İ. C. Kahveci; Willian Arão; M. Crespo; D. Rossi; Enner Valencia; M. Batshuayi
22/23,Round 19,13/01/23,Kayserispor,Sivasspor,4,1,7.29,6.43,4-1-4-1,4-3-3,C. Gönen; O. Bulut; M. Hosseini; D. Kolovetsios; L. Carole; Campanharo; M. Cardoso; O. Kemen; (c) B. Mensah; C. Mané; G. Sazdağı,A. Ş. Vural; R. Yalçın; D. Goutas; C. Osmanpaşa; (c) Z. Erdal; F. Ulvestad; K. Keïta; C. Charisis; C. N'Jie; A. Musa; M. Gradel
22/23,Round 19,13/01/23,Galatasaray,Hatayspor,4,0,7.34,6.43,4-2-3-1,4-2-3-1,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; L. Dubois; L. Torreira; S. Oliveira; B. A. Yılmaz; J. Mata; K. Aktürkoğlu; M. Icardi,E. Kardeşler; (c) K. A. Çörekçi; O. Vranješ; R. B. Yılmaz; S. Adekugbe; M. Boudjemaa; R. Aabid; A. E. Kaabi; R. Ribeiro; S. Lobjanidze; B. Yıldırım
22/23,Round 19,14/01/23,Antalyaspor,Giresunspor,2,2,6.76,6.84,4-2-3-1,4-2-3-1,M. A. Uysal; B. Balcı; (c) V. Sarı; Ö. Toprak; G. Vural; U. Akyol; Fernando; S. Gümüş; S. Larsson; D. Sinik; L. Adriano,(c) O. Piri; H. Bilazer; R. Arias; A. Pérez; A. Uludağ; J. Campuzano; R. Mejía; Serginho; B. Kuwas; B. Sainz; R. Bajić
22/23,Round 19,14/01/23,Adana DS,Ankaragücü,3,1,7.04,6.73,3-4-3,4-1-4-1,E. Özbir; J. Manev; B. Stambouli; S. Güler; J. Svensson; (c) G. Inler; B. Ndiaye; D. Babajide; E. Akbaba; H. Onyekuru; B. Bjarnason,B. H. Güngördü; K. Malcuit; U. Radaković; N. Mujakić; Marlon; L. Diack; G. Beridze; T. Antalyalı; (c) T. Ciğerci; E. Kılınç; A. Sowe
