Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
21/22,Round 8,03/10/21,Yeni Malatyaspor,Hatayspor,0,2,6.73,7.14,4-2-3-1,4-2-3-1,E. Özbir; S. Kaya; Wallace; (c) S. Çiftpınar; O. Haddadi; J. Nshimirimana; D. N'Dong; M. Eskihellaç; R. Aabid; M. Chouiar; B. Tetteh,(c) M. Mohamedi; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; R. Ribeiro; M. Boudjemaa; S. Lobjanidze; A. Traoré; D. Saint-Louis; A. E. Kaabi
21/22,Round 8,03/10/21,Fenerbahçe,Kasımpaşa,2,1,6.82,6.65,3-4-1-2,4-2-3-1,A. Bayındır; S. Aziz; M. Kim; A. Szalai; F. Kadıoğlu; M. Crespo; (c) L. Gustavo; M. Gümüşkaya; D. Rossi; M. Berisha; S. Dursun,E. Taşkıran; F. Hadergjonaj; R. Donk; T. Serbest; E. Elmalı; (c) L. Sadiku; M. Trávník; V. Eysseric; H. Hajradinović; Y. Erdoğan; U. Bozok
21/22,Round 8,03/10/21,Gaziantep,Altay,4,1,6.95,6.51,4-2-3-1,4-2-3-1,(c) G. Güvenç; S. Kitsiou; S. Caulker; A. Toșca; H. I. Pehlivan; A. Merkel; R. Niyaz; J. Figueiredo; A. Maxim; Á. Sagal; M. Demir,M. Lis; C. Karayel; E. Björkander; M. Akça; M. Naderi; K. Thiam; (c) Z. Yildirim; L. Kappel; C. Pinares; A. Y. Rayan; D. K. Bamba
21/22,Round 8,03/10/21,Rizespor,Galatasaray,2,3,6.63,6.88,4-2-3-1,4-2-3-1,G. Akkan; T. Boyd; (c) S. Ay; S. Holmén; C. Sertel; B. Dabo; D. Djoković; F. Boldrin; E. Sabo; A. Umar; J. Pohjanpalo,(c) F. Muslera; D. Yedlin; A. Öztürk; V. Nelsson; P. v. Aanholt; B. Kutlu; T. Antalyalı; S. Feghouli; A. Cicâldău; R. Babel; M. Mohamed
21/22,Round 7,24/09/21,Altay,Beşiktaş,2,1,6.93,6.75,4-2-3-1,4-2-3-1,M. Lis; C. Karayel; E. Björkander; M. Akça; M. Naderi; S. Aka; (c) Z. Yildirim; L. Kappel; C. Gülselam; E. Çelenk; D. K. Bamba,M. Günok; F. N'Sakala; S. Saatçı; (c) A. Hutchinson; R. Yılmaz; M. Pjanić; Souza; G. Töre; O. Özyakup; S. Uçan; K. Karaman
21/22,Round 7,25/09/21,Sivasspor,Karagümrük,4,0,7.31,6.46,4-3-3,3-4-3,M. Yıldırım; A. Oğuz; D. Goutas; C. Osmanpaşa; U. Çiftçi; F. Fajr; (c) H. Arslan; J. Félix; P. Henrique; O. Kayode; M. Gradel,(c) E. Viviano; B. Bekaroğlu; M. Benatia; E. Zukanović; A. Musa; E. Öztümer; A. Uğur; C. Erkin; J. Durmaz; A. Pešić; K. Frei
21/22,Round 7,25/09/21,Antalyaspor,Yeni Malatyaspor,1,0,6.96,6.83,4-2-3-1,4-2-3-1,R. Boffin; S. Floranus; V. Sarı; Naldo; G. Vural; A. Poli; (c) N. Şahin; G. Bayrakdar; Fredy; P. Mukairu; H. Wright,E. Özbir; S. Kaya; Wallace; S. Çiftpınar; O. Haddadi; D. N'Dong; R. Aabid; M. Eskihellaç; (c) A. Büyük; M. Chouiar; B. Tetteh
21/22,Round 7,25/09/21,Adana DS,Gaziantep,4,0,7.04,6.32,4-2-3-1,4-2-3-1,F. Kaplan; J. Svensson; S. Akaydın; S. Deli; (c) J. K. Rassoul; S. Kurt; B. Stambouli; Y. Akgün; B. Bjarnason; M. Vargas; M. Balotelli,(c) G. Güvenç; O. Ceylan; S. Caulker; P. Djilobodji; H. I. Pehlivan; A. Merkel; R. Niyaz; Á. Sagal; A. E. Messaoudi; J. Figueiredo; M. Demir
21/22,Round 7,26/09/21,Giresunspor,Kayserispor,1,1,6.86,6.81,4-1-4-1,4-2-3-1,O. Kocuk; (c) Z. Yavru; M. Diarra; A. Pérez; A. Behich; H. Traoré; F. Diabaté; M. S. Suleymanov; Flávio; Serginho; S. Doukara,S. Lung Jr.; O. Bulut; D. Kolovetsios; M. Hosseini; L. Carole; İ. Akdağ; J. Attamah; E. Başsan; M. Cardoso; M. Thiam; (c) B. Mensah
21/22,Round 7,26/09/21,Başakşehir,Rizespor,3,0,7.29,6.58,4-1-4-1,4-2-3-1,V. Babacan; L. Duarte; Y. Ndayishimiye; R. Tagir; L. Lima; T. Ciğerci; E. Višća; (c) M. Tekdemir; B. Özcan; D. Türüç; S. Okaka,G. Akkan; (c) G. Gönül; S. Ay; S. Holmén; A. Koc; B. Dabo; Y. Pehlivan; A. Potuk; T. Boyd; Y. Bolasie; L. Rémy
21/22,Round 7,26/09/21,Hatayspor,Fenerbahçe,1,2,6.92,6.76,4-2-3-1,3-4-2-1,M. Mohamedi; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; M. Boudjemaa; R. Ribeiro; S. Lobjanidze; A. Traoré; A. E. Kaabi; (c) M. B. Diouf,A. Bayındır; F. Novák; M. Kim; A. Szalai; F. Kadıoğlu; M. H. Yandaş; (c) L. Gustavo; M. Gümüşkaya; M. Berisha; D. Rossi; Enner Valencia
21/22,Round 7,26/09/21,Galatasaray,Göztepe,2,1,6.95,6.46,4-3-3,4-2-3-1,(c) F. Muslera; D. Yedlin; C. Luyindama; V. Nelsson; P. v. Aanholt; O. Moruțan; B. Kutlu; A. Cicâldău; S. Feghouli; H. Dervişoğlu; K. Aktürkoğlu,İ. C. Eğribayat; K. Alıcı; D. Arslanagić; W. Ángel; B. Emir; O. Nwobodo; S. Aydoğdu; Y. Kayan; (c) H. Akbunar; Lourency; C. Ndiaye
21/22,Round 7,27/09/21,Kasımpaşa,Konyaspor,2,2,6.98,6.78,4-2-3-1,4-3-3,E. Taşkıran; F. Hadergjonaj; R. Donk; T. Serbest; E. Elmalı; (c) L. Sadiku; M. Trávník; V. Eysseric; H. Hajradinović; Y. Erdoğan; U. Bozok,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; E. Çekiçi; S. Gürler; A. Hassan; Z. Bytyqi
21/22,Round 7,27/09/21,Trabzonspor,Alanyaspor,1,1,7.01,7.06,4-2-3-1,4-2-3-1,(c) U. Çakır; B. Peres; E. Ié; H. Türkmen; İ. Köybaşı; B. A. Özdemir; M. Hamšík; T. Djaniny; A. Bakasetas; A. N. Nwakaeme; A. Cornelius,S. Kırıntılı; Juanfran; C. Awaziem; N. Milunović; C. Borja; F. Aksoy; U. Güneş; (c) E. Karaca; E. Akbaba; Davidson; F. Diédhiou
21/22,Round 6,21/09/21,Rizespor,Altay,1,2,6.86,6.74,4-2-3-1,4-4-1-1,G. Akkan; F. Baiano; (c) G. Gönül; S. Holmén; E. Topçu; L. Phiri; B. Dabo; F. Boldrin; A. Potuk; Y. Bolasie; D. Hümmet,M. Lis; C. Karayel; E. Björkander; M. Akça; M. Naderi; L. Kappel; K. Thiam; (c) Z. Yildirim; E. Çelenk; Thaciano; D. K. Bamba
21/22,Round 6,21/09/21,Karagümrük,Antalyaspor,0,0,7.04,6.89,4-1-4-1,4-2-3-1,(c) E. Viviano; J. Balkovec; M. Benatia; E. Zukanović; C. Erkin; A. Uğur; A. Musa; J. Durmaz; A. Bertolacci; K. Frei; A. Pešić,R. Boffin; S. Floranus; V. Sarı; F. Kudryashov; G. Vural; A. Poli; (c) N. Şahin; H. Wright; D. Milošević; A. d. Silva; E. Crivelli
21/22,Round 6,21/09/21,Beşiktaş,Adana DS,3,3,6.85,6.68,4-1-4-1,4-2-3-1,E. Destanoğlu; V. Rosier; Welinton; F. Montero; R. Yılmaz; Souza; R. Ghezzal; M. Pjanić; (c) O. Özyakup; C. Larin; M. Batshuayi,F. Kaplan; J. Svensson; S. Akaydın; S. Deli; (c) J. K. Rassoul; S. Kurt; B. Stambouli; M. Vargas; B. Bjarnason; F. E. Okwuchukwu; B. Assombalonga
21/22,Round 6,21/09/21,Yeni Malatyaspor,Sivasspor,0,1,6.79,7.01,4-2-3-1,4-2-3-1,E. Özbir; M. Eskihellaç; Wallace; S. Çiftpınar; O. Haddadi; D. N'Dong; R. Aabid; M. Chouiar; S. Mallan; (c) A. Büyük; B. Tetteh,M. Yıldırım; A. Oğuz; D. Goutas; C. Osmanpaşa; U. Çiftçi; (c) H. Arslan; F. Fajr; P. Henrique; J. Félix; M. Gradel; O. Kayode
21/22,Round 6,22/09/21,Gaziantep,Başakşehir,1,0,6.94,6.79,4-2-3-1,4-1-4-1,(c) G. Güvenç; O. Ceylan; S. Caulker; P. Djilobodji; H. I. Pehlivan; A. Merkel; D. Erdoğan; Á. Sagal; R. Niyaz; J. Figueiredo; M. Demir,V. Babacan; Ş. Özbayraklı; C. Ponck; A. Epureanu; L. Lima; T. Ciğerci; (c) E. Višća; B. Özcan; P. Žulj; F. Gulbrandsen; S. Okaka
21/22,Round 6,22/09/21,Göztepe,Hatayspor,0,2,6.64,7.12,4-3-3,4-2-3-1,İ. C. Eğribayat; K. Alıcı; D. Arslanagić; W. Ángel; B. Emir; (c) H. Akbunar; O. Nwobodo; S. Aydoğdu; Y. Kayan; C. Ndiaye; Lourency,M. Mohamedi; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; I. Sackey; R. Ribeiro; S. Lobjanidze; A. Traoré; A. E. Kaabi; (c) M. B. Diouf
21/22,Round 6,22/09/21,Kayserispor,Galatasaray,3,0,7.13,6.51,4-2-3-1,4-2-3-1,S. Lung Jr.; O. Bulut; D. Kolovetsios; M. Hosseini; L. Carole; İ. Akdağ; J. Attamah; E. Başsan; M. Cardoso; M. Thiam; (c) B. Mensah,(c) F. Muslera; D. Yedlin; V. Nelsson; A. Öztürk; P. v. Aanholt; T. Antalyalı; G. Assunção; E. Kılınç; S. Feghouli; O. Çağlayan; M. Mohamed
21/22,Round 6,23/09/21,Konyaspor,Trabzonspor,2,2,7.27,6.56,4-3-3,4-2-3-1,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; E. Çekiçi; S. Gürler; S. Cikalleshi; Z. Bytyqi,(c) U. Çakır; B. Peres; E. Ié; V. Hugo; İ. Köybaşı; B. A. Özdemir; M. Hamšík; A. Ömür; A. Bakasetas; A. N. Nwakaeme; A. Cornelius
21/22,Round 6,23/09/21,Alanyaspor,Kasımpaşa,2,0,7.14,6.6,4-2-3-1,4-2-3-1,S. Kırıntılı; Juanfran; C. Awaziem; N. Milunović; C. Borja; F. Aksoy; U. Güneş; (c) E. Karaca; E. Akbaba; Davidson; F. Diédhiou,E. Taşkıran; M. F. Yıldırım; J. Bruma; T. Břečka; E. Elmalı; (c) L. Sadiku; T. Serbest; Y. Erdoğan; M. Trávník; V. Eysseric; U. Bozok
21/22,Round 6,23/09/21,Fenerbahçe,Giresunspor,2,1,6.68,6.71,3-4-2-1,4-1-4-1,A. Bayındır; M. Kim; S. Aziz; A. Szalai; B. Osayi-Samuel; M. H. Yandaş; L. Gustavo; F. Kadıoğlu; D. Rossi; (c) M. Özil; Enner Valencia,O. Piri; Z. Yavru; M. Diarra; A. Pérez; A. Behich; H. Traoré; Serginho; J. Pelupessy; Flávio; F. Diabaté; (c) I. Baldé
